tupleid,attribute,correct_value,
67,address,2032-2034 W DEVON AVE,
71,city,Chicago,
109,facilitytype,Grocery Store,
109,facilitytype,Restaurant,
143,facilitytype,Restaurant,
153,facilitytype,School,
176,address,2032-2034 W DEVON AVE,
303,facilitytype,Grocery Store,
369,city,Chicago,
383,address,5805 W DIVERSEY AVE,
400,dbaname,NEAR NORTH MONTESSORI SCHOOL,
465,dbaname,CHIPPER PRE-SCHOOL/KINDERGARTEN,
495,dbaname,BELLA'S PIZZA,
964,address,2232-2234 W ROSCOE ST,
1091,facilitytype,Restaurant,
1095,facilitytype,Restaurant,
1097,facilitytype,Restaurant,
1435,dbaname,TASTY CHINA,
1657,facilitytype,Daycare Above and Under 2 Years,
1872,address,3463-3465 N BROADWAY,
1915,dbaname,LA COCINA RESTAURANT & BAR,
2276,facilitytype,Restaurant,
2509,facilitytype,Hospital,
2536,facilitytype,Restaurant,
2572,dbaname,THE UNITED CENTER,
2782,facilitytype,Restaurant,
2782,facilitytype,Restaurant,
3264,facilitytype,School,
3318,facilitytype,School,
3808,facilitytype,Restaurant,
3923,facilitytype,Bakery,
3938,facilitytype,Children's Services Facility,
4053,address,8940-8942 S STONY ISLAND AVE,
4243,facilitytype,Daycare Above and Under 2 Years,
4324,facilitytype,Children's Services Facility,
4735,facilitytype,Restaurant,
4813,facilitytype,Children's Services Facility,
4940,facilitytype,Mobile Food Dispenser,
4943,facilitytype,Mobile Food Dispenser,
4944,facilitytype,Mobile Food Dispenser,
5185,facilitytype,Special Event,
5195,dbaname,GOLDEN HEART RESTAURANT,
5263,facilitytype,MOBILE FROZEN DESSERTS VENDOR,
5331,dbaname,GOLDEN HEART RESTAURANT,
5337,dbaname,GOLDEN HEART RESTAURANT,
5381,address,8940-8942 S STONY ISLAND AVE,
5435,facilitytype,Restaurant,
5552,dbaname,SOUTH-EAST ASIA CENTER,
5654,address,522 E 79TH ST,
5707,facilitytype,Restaurant,
5755,dbaname,DOMINOS PIZZA,
6140,dbaname,BELLA'S PIZZA,
6224,facilitytype,Special Event,
6312,dbaname,BELLA'S PIZZA,
6334,dbaname,43RD DAN RYAN CITGO,
6362,dbaname,43RD DAN RYAN CITGO,
6469,facilitytype,Restaurant,
6704,facilitytype,Navy Pier Kiosk,
