akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
SUNRISE GYROS INC.,1967112,CHICAGO,IL,Pass,-87.65378117,41.74659471,20161024,Risk 2 (Medium),(41.746594707551054,1959206,Restaurant,8106 S RACINE AVE ,Complaint,SUNRISE GYROS INC.,60620
TAQUERIA LOS COMALES # 12,1967089,CHICAGO,IL,Pass,-87.72273813,41.7830976,20161024,Risk 1 (High),(41.78309760160854,65987,Restaurant,6035 S PULASKI RD ,Complaint Re-Inspection,TAQUERIA LOS COMALES # 12,60629
RENALDI'S PIZZA,1967085,CHICAGO,IL,Pass,-87.64454293,41.93353571,20161024,Risk 1 (High),(41.933535705306504,2252464,Restaurant,2827-2831 N BROADWAY ,Complaint Re-Inspection,RENALDI'S PIZZA,60657
J & J FISH,1967062,CHICAGO,IL,Pass,-87.76527467,41.88034981,20161024,Risk 1 (High),(41.88034981402218,1300963,Restaurant,5608 W MADISON ST ,Complaint Re-Inspection,J & J FISH,60644
MCDONALDS,1967051,CHICAGO,IL,Pass,-87.68301753,41.75093166,20161024,Risk 2 (Medium),(41.75093165729936,1979615,Restaurant,7832 S WESTERN AVE ,Complaint Re-Inspection,MCDONALDS,60620
MCDONALDS  #29307,1967057,CHICAGO,IL,Pass w/ Conditions,-87.70865698,41.90998202,20161024,Risk 2 (Medium),(41.90998202237547,1595934,Restaurant,3241 W NORTH AVE ,Complaint,MCDONALDS  #29307,60647
PANERA BREAD,1951286,CHICAGO,IL,Pass,-87.62451427,41.88216417,20161024,Risk 1 (High),(41.88216416733022,2129398,Restaurant,2 N MICHIGAN AVE ,Short Form Complaint,PANERA BREAD,60602
EFIE'S CANTEEN (TAXI/LIMO AREA),1967040,CHICAGO,IL,Pass,-87.91442844,42.0085364,20161024,Risk 1 (High),(42.008536400868735,29570,Restaurant,11601 W TOUHY AVE ,Short Form Complaint,EFIE'S CANTEEN INC,60666
A & C DISTRIBUTORS,1967036,CHICAGO,IL,Pass,-87.72802873,41.89544131,20161024,Risk 3 (Low),(41.895441308057194,2492798,Grocery Store,4048 W CHICAGO AVE ,License,A & C DISTRIBUTORS,60651
BURGER KING,1967043,CHICAGO,IL,Fail,-87.71579472,41.9957096,20161024,Risk 2 (Medium),(41.99570960302507,2368736,Restaurant,6261-6265 N LINCOLN AVE ,Complaint,BURGER KING #215,60659
MAYFAIR RESTAURANT,1967029,CHICAGO,IL,Pass,-87.7403112,41.96799701,20161024,Risk 1 (High),(41.96799701111674,2405183,Restaurant,4461 W Lawrence AVE ,Complaint,MAYFAIR RESTAURANT,60630
PICANTE TAQUERIA,1966991,CHICAGO,IL,Pass,-87.67798988,41.90328773,20161021,Risk 1 (High),(41.90328772732953,1938696,Restaurant,2016 1/2 W DIVISION ST ,Complaint,PICANTE TAQUERIA,60622
SYMPHONY MIDWAY,1966968,CHICAGO,IL,Pass,-87.74312825,41.8119896,20161021,Risk 1 (High),(41.811989599987115,2447171,Long Term Care,4437 S CICERO AVE ,License,SYMPHONY MIDWAY,60632
YUMMY YUMMY NOODLES,1967022,CHICAGO,IL,Fail,-87.6320942,41.849954,20161021,Risk 1 (High),(41.84995400192252,2495710,Restaurant,2334 S WENTWORTH AVE ,License,YUMMY YUMMY NOODLES,60616
MARKET ON HOWARD,1967000,CHICAGO,IL,Pass,-87.6728975,42.01844815,20161021,Risk 2 (Medium),(42.01844814876268,2492710,Grocery Store,7519 N PAULINA ST ,License Re-Inspection,MARKET ON HOWARD,60626
DOMINOS,1966997,CHICAGO,IL,Fail,-87.63936045,41.86627727,20161021,Risk 2 (Medium),(41.86627726994009,2464564,Restaurant,1234 S CANAL ST ,Short Form Complaint,DOMINOS,60607
CASEY'S CORNER,1967002,CHICAGO,IL,Fail,-87.69848682,41.99746954,20161021,Risk 3 (Low),(41.997469544827794,1444569,TAVERN,2733 W DEVON AVE ,Complaint,CASEY'S CORNER,60659
SINHA,1966993,CHICAGO,IL,Pass,-87.6774065,41.87884869,20161021,Risk 1 (High),(41.87884868861424,1649129,Restaurant,2018 W ADAMS ST ,Complaint,SINHA,60612
BETEUR 1 CHILDCARE,1955305,CHICAGO,IL,Pass,-87.64427943,41.76568914,20161021,Risk 1 (High),(41.76568914272864,2215969,Daycare (2 - 6 Years),7045 S HALSTED ST ,License,BETEUR 1 CHILDCARE,60621
Jimmy Johns,1966959,CHICAGO,IL,Pass,-87.74791096,41.95391362,20161021,Risk 1 (High),(41.95391361936965,2333431,Restaurant,4021 N MILWAUKEE AVE ,Suspected Food Poisoning Re-inspection,Jimmy Johns,60641
JOY YEE NOODLE SHOP,1966953,CHICAGO,IL,Pass,-87.63471471,41.85378847,20161021,Risk 1 (High),(41.85378847066135,2008459,Restaurant,2139 S CHINA PL ,Complaint Re-Inspection,JOY YEE NOODLE SHOP,60616
BUILDING BLOCKS LEARNING ACADEMY,1955304,CHICAGO,IL,Pass,-87.65260541,41.768828,20161021,Risk 1 (High),(41.768827997910584,2215883,Daycare (2 Years),1118 W 69TH ST ,License,BUILDING BLOCKS LEARNING ACADEMY,60621
RAM'S RESTAURANT,1966943,CHICAGO,IL,Pass,-87.67115535,41.850428,20161021,Risk 1 (High),(41.850428003029705,2495786,Restaurant,2302 S BLUE ISLAND AVE ,License,RAM'S RESTAURANT,60608
NUTS N MORE,1966941,CHICAGO,IL,Fail,-87.76279897,41.99744277,20161021,Risk 2 (Medium),(41.99744276536437,2495693,Grocery Store,5352 W DEVON AVE ,License,NUTS N MORE,60646
