akaname,inspectionid,city,state,results,longitude,latitude,inspectiondate,risk,location,license,facilitytype,address,inspectiontype,dbaname,zip
sunrise gyros inc.,1967112,chicago,il,pass,-87.65378117,41.74659471,20161024,risk 2 (medium),(41.746594707551054,1959206,restaurant,8106 s racine ave,complaint,sunrise gyros inc.,60620
taqueria los comales # 12,1967089,chicago,il,pass,-87.72273813,41.7830976,20161024,risk 1 (high),(41.78309760160854,65987,restaurant,6035 s pulaski rd,complaint re-inspection,taqueria los comales # 12,60629
renaldis pizza,1967085,chicago,il,pass,-87.64454293,41.93353571,20161024,risk 1 (high),(41.933535705306504,2252464,restaurant,2827-2831 n broadway,complaint re-inspection,renaldis pizza,60657
j & j fish,1967062,chicago,il,pass,-87.76527467,41.88034981,20161024,risk 1 (high),(41.88034981402218,1300963,restaurant,5608 w madison st,complaint re-inspection,j & j fish,60644
mcdonalds,1967051,chicago,il,pass,-87.68301753,41.75093166,20161024,risk 2 (medium),(41.75093165729936,1979615,restaurant,7832 s western ave,complaint re-inspection,mcdonalds,60620
mcdonalds  #29307,1967057,chicago,il,pass w/ conditions,-87.70865698,41.90998202,20161024,risk 2 (medium),(41.90998202237547,1595934,restaurant,3241 w north ave,complaint,mcdonalds  #29307,60647
panera bread,1951286,chicago,il,pass,-87.62451427,41.88216417,20161024,risk 1 (high),(41.88216416733022,2129398,restaurant,2 n michigan ave,short form complaint,panera bread,60602
efies canteen (taxi/limo area),1967040,chicago,il,pass,-87.91442844,42.0085364,20161024,risk 1 (high),(42.008536400868735,29570,restaurant,11601 w touhy ave,short form complaint,efies canteen inc,60666
a & c distributors,1967036,chicago,il,pass,-87.72802873,41.89544131,20161024,risk 3 (low),(41.895441308057194,2492798,grocery store,4048 w chicago ave,license,a & c distributors,60651
burger king,1967043,chicago,il,fail,-87.71579472,41.9957096,20161024,risk 2 (medium),(41.99570960302507,2368736,restaurant,6261-6265 n lincoln ave,complaint,burger king #215,60659
mayfair restaurant,1967029,chicago,il,pass,-87.7403112,41.96799701,20161024,risk 1 (high),(41.96799701111674,2405183,restaurant,4461 w lawrence ave,complaint,mayfair restaurant,60630
picante taqueria,1966991,chicago,il,pass,-87.67798988,41.90328773,20161021,risk 1 (high),(41.90328772732953,1938696,restaurant,2016 1/2 w division st,complaint,picante taqueria,60622
symphony midway,1966968,chicago,il,pass,-87.74312825,41.8119896,20161021,risk 1 (high),(41.811989599987115,2447171,long term care,4437 s cicero ave,license,symphony midway,60632
yummy yummy noodles,1967022,chicago,il,fail,-87.6320942,41.849954,20161021,risk 1 (high),(41.84995400192252,2495710,restaurant,2334 s wentworth ave,license,yummy yummy noodles,60616
market on howard,1967000,chicago,il,pass,-87.6728975,42.01844815,20161021,risk 2 (medium),(42.01844814876268,2492710,grocery store,7519 n paulina st,license re-inspection,market on howard,60626
dominos,1966997,chicago,il,fail,-87.63936045,41.86627727,20161021,risk 2 (medium),(41.86627726994009,2464564,restaurant,1234 s canal st,short form complaint,dominos,60607
caseys corner,1967002,chicago,il,fail,-87.69848682,41.99746954,20161021,risk 3 (low),(41.997469544827794,1444569,tavern,2733 w devon ave,complaint,caseys corner,60659
sinha,1966993,chicago,il,pass,-87.6774065,41.87884869,20161021,risk 1 (high),(41.87884868861424,1649129,restaurant,2018 w adams st,complaint,sinha,60612
beteur 1 childcare,1955305,chicago,il,pass,-87.64427943,41.76568914,20161021,risk 1 (high),(41.76568914272864,2215969,daycare (2 - 6 years),7045 s halsted st,license,beteur 1 childcare,60621
jimmy johns,1966959,chicago,il,pass,-87.74791096,41.95391362,20161021,risk 1 (high),(41.95391361936965,2333431,restaurant,4021 n milwaukee ave,suspected food poisoning re-inspection,jimmy johns,60641
joy yee noodle shop,1966953,chicago,il,pass,-87.63471471,41.85378847,20161021,risk 1 (high),(41.85378847066135,2008459,restaurant,2139 s china pl,complaint re-inspection,joy yee noodle shop,60616
building blocks learning academy,1955304,chicago,il,pass,-87.65260541,41.768828,20161021,risk 1 (high),(41.768827997910584,2215883,daycare (2 - 6 years),1118 w 69th st,license,building blocks learning academy,60621
rams restaurant,1966943,chicago,il,pass,-87.67115535,41.850428,20161021,risk 1 (high),(41.850428003029705,2495786,restaurant,2302 s blue island ave,license,rams restaurant,60608
nuts n more,1966941,chicago,il,fail,-87.76279897,41.99744277,20161021,risk 2 (medium),(41.99744276536437,2495693,grocery store,5352 w devon ave,license,nuts n more,60646
quick connection  (t1 b1),1966930,chicago,il,pass,-87.91442844,42.0085364,20161021,risk 3 (low),(42.008536400868735,34223,grocery store,11601 w touhy ave,canvass,quick connection,60666
maxs take out,1966887,chicago,il,fail,-87.62699911,41.87960813,20161020,risk 1 (high),(41.87960812540506,11172,restaurant,20 e adams st,complaint,maxs take out,60603
transportation center/snack shop,1966757,chicago,il,pass,-87.91442844,42.0085364,20161019,risk 2 (medium),(42.008536400868735,1909531,restaurant,11601 w touhy ave,canvass,transportation center,60666
the angry crab,1966927,chicago,il,fail,-87.69722674,41.98450761,20161021,risk 1 (high),(41.98450761309772,2379885,restaurant,5665 n lincoln ave,complaint re-inspection,the angry crab,60659
west lawn foods,1966926,chicago,il,pass,-87.72313003,41.78660841,20161021,risk 1 (high),(41.786608409502335,1591726,grocery store,5838 s pulaski rd,complaint re-inspection,west lawn foods,60629
the p berry cafe,1966923,chicago,il,pass,-87.6174801,41.83195818,20161021,risk 2 (medium),(41.831958178116174,2482916,restaurant,3428 s dr martin luther king jr dr,license re-inspection,the p berry cafe,60616
a&t pancake house,1966917,chicago,il,pass,-87.6743699,42.01012437,20161021,risk 1 (high),(42.01012437485032,2293343,restaurant,7036 n clark st,complaint,a&t pancake house,60626
