tid,attr_name,attr_val
1,ProviderNumber,10018
1,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
1,Address1,1720 UNIVERSITY BLVD
1,Address2,Empty
1,Address3,Empty
1,City,BIRMINGHAM
1,State,AL
1,ZipCode,35233
1,CountyName,JEFFERSON
1,PhoneNumber,2053258100
1,HospitalType,Acute Care Hospitals
1,HospitalOwner,Voluntary non-profit - Private
1,EmergencyService,Yes
1,Condition,Surgical Infection Prevention
1,MeasureCode,SCIP-CARD-2
1,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
1,Score,Empty
1,Sample,Empty
1,Stateavg,AL_SCIP-CARD-2
2,ProviderNumber,10018
2,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
2,Address1,1720 UNIVERSITY BLVD
2,Address2,Empty
2,Address3,Empty
2,City,BIRMINGHAM
2,State,AL
2,ZipCode,35233
2,CountyName,JEFFERSON
2,PhoneNumber,2053258100
2,HospitalType,Acute Care Hospitals
2,HospitalOwner,Voluntary non-profit - Private
2,EmergencyService,Yes
2,Condition,Surgical Infection Prevention
2,MeasureCode,SCIP-INF-1
2,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2,Score,Empty
2,Sample,Empty
2,Stateavg,AL_SCIP-INF-1
3,ProviderNumber,10018
3,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
3,Address1,1720 UNIVERSITY BLVD
3,Address2,Empty
3,Address3,Empty
3,City,BIRMINGHAM
3,State,AL
3,ZipCode,35233
3,CountyName,JEFFERSON
3,PhoneNumber,2053258100
3,HospitalType,Acute Care Hospitals
3,HospitalOwner,Voluntary non-profit - Private
3,EmergencyService,Yes
3,Condition,Surgical Infection Prevention
3,MeasureCode,SCIP-INF-2
3,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3,Score,Empty
3,Sample,Empty
3,Stateavg,AL_SCIP-INF-2
4,ProviderNumber,10018
4,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
4,Address1,1720 UNIVERSITY BLVD
4,Address2,Empty
4,Address3,Empty
4,City,BIRMINGHAM
4,State,AL
4,ZipCode,35233
4,CountyName,JEFFERSON
4,PhoneNumber,2053258100
4,HospitalType,Acute Care Hospitals
4,HospitalOwner,Voluntary non-profit - Private
4,EmergencyService,Yes
4,Condition,Surgical Infection Prevention
4,MeasureCode,SCIP-INF-3
4,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
4,Score,Empty
4,Sample,Empty
4,Stateavg,AL_SCIP-INF-3
5,ProviderNumber,10018
5,HospitalName,CALLAHAN EYE FOUNDATION HOSPITAL
5,Address1,1720 UNIVERSITY BLVD
5,Address2,Empty
5,Address3,Empty
5,City,BIRMINGHAM
5,State,AL
5,ZipCode,35233
5,CountyName,JEFFERSON
5,PhoneNumber,2053258100
5,HospitalType,Acute Care Hospitals
5,HospitalOwner,Voluntary non-profit - Private
5,EmergencyService,Yes
5,Condition,Surgical Infection Prevention
5,MeasureCode,SCIP-INF-4
5,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
5,Score,Empty
5,Sample,Empty
5,Stateavg,AL_SCIP-INF-4
6,ProviderNumber,10018
