ind,attr,val
1,ProviderNumber,10018
1,HospitalName,callahan eye foundation hospital
1,Address1,1720 university blvd
1,Address2,empty
1,Address3,empty
1,city,birmingham
1,State,al
1,Zipcode,35233
1,countyName,jefferson
1,PhoneNumber,2053258100
1,HospitalType,acute care hospitals
1,HospitalOwner,voluntary non-profit - private
1,EmergencyService,yes
1,condition,surgical infection prevention
1,Measurecode,scip-card-2
1,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
1,Score,empty
1,Sample,empty
1,Stateavg,al_scip-card-2
2,ProviderNumber,10018
2,HospitalName,callahan eye foundation hospital
2,Address1,1720 university blvd
2,Address2,empty
2,Address3,empty
2,city,birmingham
2,State,al
2,Zipcode,35233
2,countyName,jefferson
2,PhoneNumber,2053258100
2,HospitalType,acute care hospitals
2,HospitalOwner,voluntary non-profit - private
2,EmergencyService,yes
2,condition,surgical infection prevention
2,Measurecode,scip-inf-1
2,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
2,Score,empty
2,Sample,empty
2,Stateavg,al_scip-inf-1
3,ProviderNumber,10018
3,HospitalName,callahan eye foundation hospital
3,Address1,1720 university blvd
3,Address2,empty
3,Address3,empty
3,city,birmingham
3,State,al
3,Zipcode,35233
3,countyName,jefferson
3,PhoneNumber,2053258100
3,HospitalType,acute care hospitals
3,HospitalOwner,voluntary non-profit - private
3,EmergencyService,yes
3,condition,surgical infection prevention
3,Measurecode,scip-inf-2
3,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
3,Score,empty
3,Sample,empty
3,Stateavg,al_scip-inf-2
4,ProviderNumber,10018
4,HospitalName,callahan eye foundation hospital
4,Address1,1720 university blvd
4,Address2,empty
4,Address3,empty
4,city,birmingham
4,State,al
4,Zipcode,35233
4,countyName,jefferson
4,PhoneNumber,2053258100
4,HospitalType,acute care hospitals
4,HospitalOwner,voluntary non-profit - private
4,EmergencyService,yes
4,condition,surgical infection prevention
4,Measurecode,scip-inf-3
4,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
4,Score,empty
4,Sample,empty
4,Stateavg,al_scip-inf-3
5,ProviderNumber,10018
5,HospitalName,callahan eye foundation hospital
5,Address1,1720 university blvd
5,Address2,empty
5,Address3,empty
5,city,birmingham
5,State,al
5,Zipcode,35233
5,countyName,jefferson
5,PhoneNumber,2053258100
5,HospitalType,acute care hospitals
5,HospitalOwner,voluntary non-profit - private
5,EmergencyService,yes
5,condition,surgical infection prevention
5,Measurecode,scip-inf-4
5,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
5,Score,empty
5,Sample,empty
5,Stateavg,al_scip-inf-4
6,ProviderNumber,10018
6,HospitalName,callahan eye foundation hospital
6,Address1,1720 university blvd
6,Address2,empty
6,Address3,empty
6,city,birmingham
6,State,al
6,Zipcode,35233
6,countyName,jefferson
6,PhoneNumber,2053258100
6,HospitalType,acute care hospitals
6,HospitalOwner,voluntary non-profit - private
6,EmergencyService,yes
6,condition,surgical infection prevention
6,Measurecode,scip-inf-6
6,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
6,Score,empty
6,Sample,empty
6,Stateavg,al_scip-inf-6
