Index,Source,ISBN,Title,Author_list
0,ecampus.com,0201853949,the_art_of_computer_programming@_fascicle_3:_generating_all_combinations_and_partitions,not_available
0,indoo.com,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
1,textbookxdotcom,0201853949,the_'art_of_computer_programming@_fascicle_3_generating_all_combinations_and_partitions,
1,a1books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
2,textbooksnow,0201853949,art_of_computer_programming,knuth
2,paperbackworld.de,0201853949,the_art_of_computer_programming_vol._4@_fascicle_3,donald_ervin_knuth
3,caiman,0201853949,art_of_computer_programming_vo,knuth@_donald_ervin
3,movies_with_a_smile,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_ervin
4,marando.de_versandbuchhandlung,0201853949,generating_all_combinations_and_partitions,donald_e._knuth
4,aha-buch,0201853949,generating_all_combinations_and_partitions,donald_e._knuth
5,versandantiquariat_robert_a._mueller,0201853949,the_art_of_computer_programming_vol._4@_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_ervin
5,morgenstundt_buch_&_kunst,0201853949,art_of_computer_programming@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
6,alphacraze.com,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),knuth@_donald_e.
6,odeon_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),donald_e._knuth
7,powell's_books,0201853949,art_of_computer_prog_fascicle_3_volume_4,knuth@_donald
7,quartermelon,0201853949,art_of_computer_programming_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
8,browns_books,0201853949,the_the,knuth@_donald_e.
8,books_down_under,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,donald_e._knuth_john_fuller
9,books_down_under,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
9,swoop,0201853949,art_of_computer_programming,knuth@_donald_e.
10,thebookcom,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
10,thesaintbookstore,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),knuth@_donald_e.
11,mellon's_books,0201853949,art_of_computer_programming,knuth@_donald_e.
11,thebookcom,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
12,blackwell_online,0201853949,the_art_of_computer_programming,donald_e._knuth
12,stratford_books,0201853949,art_of_computer_programming_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
13,the_book_depository,0201853949,art_of_computer_programming:_v._4,donald_e_knuth
13,englishbookservice.com_gti_gmbh,0201853949,art_of_computer_programming@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
14,revaluation_books,0201853949,the_art_of_computer_programming@_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
14,papamedia.com,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3_:_generating_all_combinations_and_partitions_(art_of_computer_programming),donald_e._knuth
15,free_u.s._air_shipping_@_thebookcompany,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
15,bobs_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
16,a1books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
16,revaluation_books,0201853949,art_of_computer_programming_volume_4_fascicle_3_the:generating_allcombinations_and_partitions,knuth@_donald_e.
17,free_u.s._air_shipping_@_thebookcompany,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
17,bobs_books,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,donald_e._knuth_john_fuller
18,gunars_store,0201853949,art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinatio..,knuth_donald
18,gunter_koppon,0201853949,art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinatio..,knuth_donald
