aa	AA-1007-TPA-MIA	12/02/2011 01:55 PM	12/02/2011 02:13 PM	F78	12/02/2011 03:00 PM	12/02/2011 03:05 PM	D5
flightexplorer	AA-1007-TPA-MIA		12/2/2011 2:13PM EST			12/2/2011 2:57PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/2/11 2:13 PM (-05:00)			12/2/11 2:57 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/2/11 2:13 PM (-05:00)			12/2/11 2:57 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/2/11 2:13 PM (-05:00)			12/2/11 2:57 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/2/11 2:13 PM (-05:00)			12/2/11 2:57 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-02 02:13 PM	F78		2011-12-02 03:05 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-02 02:13 PM	F78		2011-12-02 03:05 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-02 02:13 PM	F78		2011-12-02 03:05 PM	D5
flightview	AA-1007-TPA-MIA		2:13 PMDec 02			3:05 PMDec 02	
panynj	AA-1007-TPA-MIA		2:13 PMDec 02			3:05 PMDec 02	
gofox	AA-1007-TPA-MIA		2:13 PMDec 02			3:05 PMDec 02	
foxbusiness	AA-1007-TPA-MIA		2:13 PMDec 02			3:05 PMDec 02	
allegiantair	AA-1007-TPA-MIA		2:13 PMDec 02			3:05 PMDec 02	
boston	AA-1007-TPA-MIA		2:13 PMDec 02			2:55 PMDec 02	
travelocity	AA-1007-TPA-MIA	Dec 02 - 1:55pm	Dec 02 - 2:02pm	F78	Dec 02 - 3:00pm	Dec 02 - 3:05pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 2	2:02pDec 2	 F78	3:00pDec 2	3:05pDec 2	 D5
weather	AA-1007-TPA-MIA	2011-12-02 01:55 PM			2011-12-02 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-02-11	2011-12-02  3:05P	
usatoday	AA-1007-TPA-MIA	2011-12-02 01:55 PM			2011-12-02 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pDec 2	2:02pDec 2	 F78	3:00pDec 2	3:05pDec 2	 D5
flightarrival	AA-1007-TPA-MIA	2011-12-02 01:55 PM			2011-12-02 03:00 PM		
aa	AA-1518-DFW-SDF	12/02/2011 12:10 PM	12/02/2011 12:26 PM	C35	12/02/2011 03:10 PM	12/02/2011 03:08 PM	A15
flightexplorer	AA-1518-DFW-SDF		12/2/2011 12:27PM CST			12/2/2011 3:00PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/2/11 12:27 PM (-06:00)			12/2/11 3:00 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/2/11 12:27 PM (-06:00)			12/2/11 3:00 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/2/11 12:27 PM (-06:00)			12/2/11 3:00 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/2/11 12:27 PM (-06:00)			12/2/11 3:00 PM (-05:00)	
