ua	UA-1534-RTB-IAH	Sun, Dec 4 2:05 PM	Sun, Dec 4 1:53 PM	--	Sun, Dec 4 5:01 PM	Sun, Dec 4 4:43 PM	E2
airtravelcenter	UA-1534-RTB-IAH		12/4/11 2:03 PM (-06:00)			12/4/11 4:31 PM (-06:00)	
airtravelcenter	UA-1534-RTB-IAH	12/4/11 2:05 PM (-06:00)			12/4/11 5:01 PM (-06:00)		
myrateplan	UA-1534-RTB-IAH		12/4/11 2:03 PM (-06:00)			12/4/11 4:31 PM (-06:00)	
myrateplan	UA-1534-RTB-IAH	12/4/11 2:05 PM (-06:00)			12/4/11 5:01 PM (-06:00)		
helloflight	UA-1534-RTB-IAH		12/4/11 2:03 PM (-06:00)			12/4/11 4:31 PM (-06:00)	
helloflight	UA-1534-RTB-IAH	12/4/11 2:05 PM (-06:00)			12/4/11 5:01 PM (-06:00)		
flytecomm	UA-1534-RTB-IAH		12/4/11 2:03 PM (-06:00)			12/4/11 4:31 PM (-06:00)	
flytecomm	UA-1534-RTB-IAH	12/4/11 2:05 PM (-06:00)			12/4/11 5:01 PM (-06:00)		
flights	UA-1534-RTB-IAH	02:05 PM  Sun 04-Dec-2011	01:53 PM  Sun 04-Dec-2011		05:01 PM  Sun 04-Dec-2011	04:43 PM  Sun 04-Dec-2011	
businesstravellogue	UA-1534-RTB-IAH	02:05 PM  Sun 04-Dec-2011	01:53 PM  Sun 04-Dec-2011		05:01 PM  Sun 04-Dec-2011	04:43 PM  Sun 04-Dec-2011	
flylouisville	UA-1534-RTB-IAH	02:05 PM  Sun 04-Dec-2011	01:53 PM  Sun 04-Dec-2011		05:01 PM  Sun 04-Dec-2011	04:43 PM  Sun 04-Dec-2011	
world-flight-tracker	UA-1534-RTB-IAH	2011-12-04 2:05 PM	2011-12-04 1:53 PM		2011-12-04 5:01 PM	2011-12-04 4:43 PM	
flightview	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:43 PM, Dec 04	
panynj	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:43 PM, Dec 04	
gofox	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:43 PM, Dec 04	
foxbusiness	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:43 PM, Dec 04	
allegiantair	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:43 PM, Dec 04	
boston	UA-1534-RTB-IAH	2:05 PM, Dec 04	1:53 PM, Dec 04		5:01 PM, Dec 04	4:34 PM, Dec 04	
travelocity	UA-1534-RTB-IAH	Dec 04 - 2:05pm	Dec 04 - Contact Airline	Not provided by airline	Dec 04 - 5:01pm	Dec 04 - Contact Airline	Not provided by airline
orbitz	UA-1534-RTB-IAH	2:05pDec 4	1:53pDec 4	 -	5:01pDec 4	4:43pDec 4	 -
aa	AA-1007-TPA-MIA	12/04/2011 01:55 PM	12/04/2011 02:10 PM	F80	12/04/2011 03:00 PM	12/04/2011 03:02 PM	D5
flightexplorer	AA-1007-TPA-MIA		12/4/2011 2:10PM EST			12/4/2011 2:57PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/4/11 2:09 PM (-05:00)			12/4/11 2:57 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/4/11 2:09 PM (-05:00)			12/4/11 2:57 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/4/11 2:09 PM (-05:00)			12/4/11 2:57 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/4/11 2:09 PM (-05:00)			12/4/11 2:57 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-04 02:10 PM	F80		2011-12-04 03:02 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-04 02:10 PM	F80		2011-12-04 03:02 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-04 02:10 PM	F80		2011-12-04 03:02 PM	D5
flightview	AA-1007-TPA-MIA		2:10 PMDec 04			3:02 PMDec 04	
panynj	AA-1007-TPA-MIA		2:10 PMDec 04			3:02 PMDec 04	
gofox	AA-1007-TPA-MIA		2:10 PMDec 04			3:02 PMDec 04	
foxbusiness	AA-1007-TPA-MIA		2:10 PMDec 04			3:02 PMDec 04	
allegiantair	AA-1007-TPA-MIA		2:10 PMDec 04			3:02 PMDec 04	
boston	AA-1007-TPA-MIA		2:10 PMDec 04			2:54 PMDec 04	
travelocity	AA-1007-TPA-MIA	Dec 04 - 1:55pm	Dec 04 - 1:55pm	F80	Dec 04 - 3:00pm	Dec 04 - 3:02pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 4	1:55pDec 4	 F80	3:00pDec 4	3:02pDec 4	 D5
weather	AA-1007-TPA-MIA	2011-12-04 01:55 PM			2011-12-04 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-04-11	2011-12-04  3:02P	
