aa	AA-2446-LAX-DFW	12/07/2011 01:10 PM	12/07/2011 01:19 PM	42B	12/07/2011 06:10 PM	12/07/2011 06:08 PM	C2
flightexplorer	AA-2446-LAX-DFW		12/7/2011 1:19PM PST			12/7/2011 5:46PM CST	
airtravelcenter	AA-2446-LAX-DFW		12/7/11 1:19 PM (-08:00)			12/7/11 5:46 PM (-06:00)	
myrateplan	AA-2446-LAX-DFW		12/7/11 1:19 PM (-08:00)			12/7/11 5:46 PM (-06:00)	
helloflight	AA-2446-LAX-DFW		12/7/11 1:19 PM (-08:00)			12/7/11 5:46 PM (-06:00)	
flytecomm	AA-2446-LAX-DFW		12/7/11 1:19 PM (-08:00)			12/7/11 5:46 PM (-06:00)	
flights	AA-2446-LAX-DFW		2011-12-07 01:19 PM	42B		2011-12-07 06:08 PM	C2
businesstravellogue	AA-2446-LAX-DFW		2011-12-07 01:19 PM	42B		2011-12-07 06:08 PM	C2
flylouisville	AA-2446-LAX-DFW		2011-12-07 01:19 PM	42B		2011-12-07 06:08 PM	C2
flightview	AA-2446-LAX-DFW		1:19 PMDec 07			6:08 PMDec 07	
panynj	AA-2446-LAX-DFW		1:19 PMDec 07			6:08 PMDec 07	
gofox	AA-2446-LAX-DFW		1:19 PMDec 07			6:08 PMDec 07	
foxbusiness	AA-2446-LAX-DFW		1:19 PMDec 07			6:08 PMDec 07	
allegiantair	AA-2446-LAX-DFW		1:19 PMDec 07			6:08 PMDec 07	
boston	AA-2446-LAX-DFW		1:19 PMDec 07			5:54 PMDec 07	
travelocity	AA-2446-LAX-DFW	Dec 07 - 1:10pm	Dec 07 - 1:06pm	42B/T4	Dec 07 - 6:10pm	Dec 07 - 6:08pm	C2/C
orbitz	AA-2446-LAX-DFW	1:10pDec 7	1:06pDec 7	 42B	6:10pDec 7	6:08pDec 7	 C2
weather	AA-2446-LAX-DFW	2011-12-07 01:10 PM			2011-12-07 06:10 PM		
dfw	AA-2446-LAX-DFW				2011-12-07 6:10 pm		C2
usatoday	AA-2446-LAX-DFW	2011-12-07 01:10 PM			2011-12-07 06:10 PM		
mytripandmore	AA-2446-LAX-DFW	Dec 07 - 1:10pm	Dec 07 - 1:06pm	42B/T4	Dec 07 - 6:10pm	Dec 07 - 6:08pm	C2/C
flightarrival	AA-2446-LAX-DFW	2011-12-07 01:10 PM			2011-12-07 06:10 PM		
ua	UA-864-SFO-PHL	Wed, Dec 7 8:57 AM	Wed, Dec 7 11:23 AM	92	Wed, Dec 7 5:13 PM	Wed, Dec 7 7:45 PM	D13
flightexplorer	UA-864-SFO-PHL		12/7/2011 11:38AM PST			12/7/2011 7:41PM EST	
airtravelcenter	UA-864-SFO-PHL		12/7/11 11:38 AM (-08:00)			12/7/11 7:41 PM (-05:00)	
myrateplan	UA-864-SFO-PHL		12/7/11 11:38 AM (-08:00)			12/7/11 7:41 PM (-05:00)	
helloflight	UA-864-SFO-PHL		12/7/11 11:38 AM (-08:00)			12/7/11 7:41 PM (-05:00)	
flytecomm	UA-864-SFO-PHL		12/7/11 11:38 AM (-08:00)			12/7/11 7:41 PM (-05:00)	
flightaware	UA-864-SFO-PHL	2011-12-07 08:57AM PST	2011-12-07 11:40AM PST	 92 	2011-12-07 05:05PM EST	2011-12-07 07:38PM EST	 D13 
wunderground	UA-864-SFO-PHL	2011-12-07 08:57AM PST	2011-12-07 11:40AM PST	 92 	2011-12-07 05:05PM EST	2011-12-07 07:38PM EST	 D13 
flights	UA-864-SFO-PHL	08:57 AM  Wed 07-Dec-2011	11:23 AM  Wed 07-Dec-2011	G92	05:13 PM  Wed 07-Dec-2011	07:45 PM  Wed 07-Dec-2011	D13
businesstravellogue	UA-864-SFO-PHL	08:57 AM  Wed 07-Dec-2011	11:23 AM  Wed 07-Dec-2011	G92	05:13 PM  Wed 07-Dec-2011	07:45 PM  Wed 07-Dec-2011	D13
flylouisville	UA-864-SFO-PHL	08:57 AM  Wed 07-Dec-2011	11:23 AM  Wed 07-Dec-2011	G92	05:13 PM  Wed 07-Dec-2011	07:45 PM  Wed 07-Dec-2011	D13
flightstats	UA-864-SFO-PHL	2011-12-07 8:57 AM	2011-12-07 11:23 AM		2011-12-07 5:13 PM	2011-12-07 7:45 PM	
quicktrip	UA-864-SFO-PHL	2011-12-07 8:57 AM	2011-12-07 11:23 AM		2011-12-07 5:13 PM	2011-12-07 7:45 PM	
world-flight-tracker	UA-864-SFO-PHL	2011-12-07 8:57 AM	2011-12-07 11:23 AM		2011-12-07 5:13 PM	2011-12-07 7:45 PM	
flightview	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07	Terminal I - G92	5:13 PM, Dec 07	7:45 PM, Dec 07	D13
panynj	UA-864-SFO-PHL	8:57 AM, Dec 07	11:40 AM, Dec 07	Terminal I - G92	5:13 PM, Dec 07	7:45 PM, Dec 07	D13
