aa	AA-1007-TPA-MIA	December 9, 2011               01:55 PM    	December 9, 2011               01:57 PM    	 F78	December 9, 2011               03:00 PM    	December 9, 2011               02:57 PM    	 D47    
flightexplorer	AA-1007-TPA-MIA		12/9/2011 2:09PM EST			12/9/2011 2:51PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/9/11 2:08 PM (-05:00)			12/9/11 2:51 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/9/11 2:08 PM (-05:00)			12/9/11 2:51 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/9/11 2:08 PM (-05:00)			12/9/11 2:51 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/9/11 2:08 PM (-05:00)			12/9/11 2:51 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-09 01:57 PM	F78		2011-12-09 02:57 PM	D47
businesstravellogue	AA-1007-TPA-MIA		2011-12-09 01:57 PM	F78		2011-12-09 02:57 PM	D47
flylouisville	AA-1007-TPA-MIA		2011-12-09 01:57 PM	F78		2011-12-09 02:57 PM	D47
flightview	AA-1007-TPA-MIA		2:09 PMDec 09			2:57 PMDec 09	
panynj	AA-1007-TPA-MIA		2:09 PMDec 09			2:57 PMDec 09	
gofox	AA-1007-TPA-MIA		2:09 PMDec 09			2:57 PMDec 09	
foxbusiness	AA-1007-TPA-MIA		2:09 PMDec 09			2:57 PMDec 09	
allegiantair	AA-1007-TPA-MIA		2:09 PMDec 09			2:57 PMDec 09	
boston	AA-1007-TPA-MIA		2:09 PMDec 09			2:50 PMDec 09	
travelocity	AA-1007-TPA-MIA	Dec 09 - 1:55pm	Dec 09 - 1:57pm	F78	Dec 09 - 3:00pm	Dec 09 - 2:57pm	D47
orbitz	AA-1007-TPA-MIA	1:55pDec 9	1:57pDec 9	 F78	3:00pDec 9	2:57pDec 9	 D47
weather	AA-1007-TPA-MIA	2011-12-09 01:55 PM			2011-12-09 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-09-11	2011-12-09  2:57P	
usatoday	AA-1007-TPA-MIA		2:09 PMDec 09			2:50 PMDec 09	
