ua	UA-1534-RTB-IAH	Sat, Dec 10 2:05 PM	Sat, Dec 10 5:00 PM	--	Sat, Dec 10 5:01 PM	Sat, Dec 10 7:44 PM	E24
airtravelcenter	UA-1534-RTB-IAH		12/10/11 1:53 PM (-06:00)			12/10/11 6:18 PM (-06:00)	
myrateplan	UA-1534-RTB-IAH		12/10/11 1:53 PM (-06:00)			12/10/11 6:18 PM (-06:00)	
helloflight	UA-1534-RTB-IAH		12/10/11 1:53 PM (-06:00)			12/10/11 6:18 PM (-06:00)	
flytecomm	UA-1534-RTB-IAH		12/10/11 1:53 PM (-06:00)			12/10/11 6:18 PM (-06:00)	
flights	UA-1534-RTB-IAH	02:05 PM  Sat 10-Dec-2011		-1-	05:01 PM  Sat 10-Dec-2011		24
businesstravellogue	UA-1534-RTB-IAH	02:05 PM  Sat 10-Dec-2011		-1-	05:01 PM  Sat 10-Dec-2011		24
flylouisville	UA-1534-RTB-IAH	02:05 PM  Sat 10-Dec-2011		-1-	05:01 PM  Sat 10-Dec-2011		24
flightview	UA-1534-RTB-IAH	2:05 PM, Dec 10			5:01 PM, Dec 10		
panynj	UA-1534-RTB-IAH	2:05 PM, Dec 10			5:01 PM, Dec 10		
gofox	UA-1534-RTB-IAH	2:05 PM, Dec 10			5:01 PM, Dec 10		
foxbusiness	UA-1534-RTB-IAH	2:05 PM, Dec 10			5:01 PM, Dec 10		
allegiantair	UA-1534-RTB-IAH	2:05 PM, Dec 10			5:01 PM, Dec 10		
boston	UA-1534-RTB-IAH	2:05 PM, Dec 10	Not Available		5:01 PM, Dec 10	Not Available	
travelocity	UA-1534-RTB-IAH	Dec 10 - 2:05pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 5:01pm	Dec 10 - Contact Airline	Not provided by airline
orbitz	UA-1534-RTB-IAH	2:05pDec 10		 -	10:27pDec 10		 -
usatoday	UA-1534-RTB-IAH	2:05 PM, Dec 10	Not Available		5:01 PM, Dec 10	Not Available	
mytripandmore	UA-1534-RTB-IAH	Dec 10 - 2:05pm	Dec 10 - Contact Airline	Not provided by airline	Dec 10 - 5:01pm	Dec 10 - Contact Airline	Not provided by airline
aa	AA-1007-TPA-MIA	December 10, 2011               01:55 PM    	December 10, 2011               01:49 PM    	 F79	December 10, 2011               03:00 PM    	December 10, 2011               02:46 PM    	 D20    
flightexplorer	AA-1007-TPA-MIA		12/10/2011 1:59PM EST			12/10/2011 2:42PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/10/11 1:58 PM (-05:00)			12/10/11 2:42 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/10/11 1:58 PM (-05:00)			12/10/11 2:42 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/10/11 1:58 PM (-05:00)			12/10/11 2:42 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/10/11 1:58 PM (-05:00)			12/10/11 2:42 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-10 01:49 PM	F79		2011-12-10 02:46 PM	D20
