CO	CO-4237-EWR-DTW	Fri., Dec.16, 2011 12:17 p.m.	Fri., Dec.16, 2011 12:11 p.m.		Fri., Dec.16, 2011 2:24 p.m.	Fri., Dec.16, 2011 2:17 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/16/11 12:17 PM (-05:00)			12/16/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/16/11 12:17 PM (-05:00)			12/16/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/16/11 12:17 PM (-05:00)			12/16/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/16/11 12:17 PM (-05:00)			12/16/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-16 12:11 PM	26		2011-12-16 02:17 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-16 12:11 PM	26		2011-12-16 02:17 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-16 12:11 PM	26		2011-12-16 02:17 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-16 12:17 PM	2011-12-16 12:11 PM		2011-12-16 2:24 PM	2011-12-16 2:17 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-16 12:17 PM	2011-12-16 12:11 PM		2011-12-16 2:24 PM	2011-12-16 2:17 PM	
flightview	CO-4237-EWR-DTW		12:24 PMDec 16			2:17 PMDec 16	
panynj	CO-4237-EWR-DTW		12:24 PMDec 16			2:17 PMDec 16	
gofox	CO-4237-EWR-DTW		12:24 PMDec 16			2:17 PMDec 16	
foxbusiness	CO-4237-EWR-DTW		12:24 PMDec 16			2:17 PMDec 16	
allegiantair	CO-4237-EWR-DTW		12:24 PMDec 16			2:17 PMDec 16	
boston	CO-4237-EWR-DTW		12:24 PMDec 16			2:09 PMDec 16	
orbitz	CO-4237-EWR-DTW	12:17pDec 16	12:11pDec 16	 -	2:24pDec 16	2:17pDec 16	 -
weather	CO-4237-EWR-DTW	2011-12-16 12:17 PM			2011-12-16 02:24 PM		
aa	AA-1007-TPA-MIA	December 16, 2011               01:55 PM    	December 16, 2011               01:57 PM    	 F78	December 16, 2011               03:00 PM    	December 16, 2011               02:50 PM    	 D39    
flightexplorer	AA-1007-TPA-MIA		12/16/2011 2:07PM EST			12/16/2011 2:47PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/16/11 2:06 PM (-05:00)			12/16/11 2:47 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/16/11 2:06 PM (-05:00)			12/16/11 2:47 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/16/11 2:06 PM (-05:00)			12/16/11 2:47 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/16/11 2:06 PM (-05:00)			12/16/11 2:47 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-16 01:57 PM	F78		2011-12-16 02:50 PM	D39
businesstravellogue	AA-1007-TPA-MIA		2011-12-16 01:57 PM	F78		2011-12-16 02:50 PM	D39
flylouisville	AA-1007-TPA-MIA		2011-12-16 01:57 PM	F78		2011-12-16 02:50 PM	D39
flightview	AA-1007-TPA-MIA		2:07 PMDec 16			2:50 PMDec 16	
panynj	AA-1007-TPA-MIA		2:07 PMDec 16			2:50 PMDec 16	
gofox	AA-1007-TPA-MIA		2:07 PMDec 16			2:50 PMDec 16	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 16			2:50 PMDec 16	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 16			2:50 PMDec 16	
boston	AA-1007-TPA-MIA		2:07 PMDec 16			2:45 PMDec 16	
travelocity	AA-1007-TPA-MIA	Dec 16 - 1:55pm	Dec 16 - 1:57pm	F78	Dec 16 - 3:00pm	Dec 16 - 2:50pm	D39
orbitz	AA-1007-TPA-MIA	1:55pDec 16	1:57pDec 16	 F78	3:00pDec 16	2:50pDec 16	 D39
weather	AA-1007-TPA-MIA	2011-12-16 01:55 PM			2011-12-16 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-16-11	2011-12-16  2:50P	
usatoday	AA-1007-TPA-MIA	2011-12-16 01:55 PM			2011-12-16 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	Dec 16 - 1:55pm	Dec 16 - 1:57pm	F78	Dec 16 - 3:00pm	Dec 16 - 2:50pm	D39
flightarrival	AA-1007-TPA-MIA	2011-12-16 01:55 PM			2011-12-16 03:00 PM		
aa	AA-1518-DFW-SDF	December 16, 2011               12:10 PM    	December 16, 2011               12:26 PM    	 A19	December 16, 2011               03:10 PM    	December 16, 2011               03:06 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/16/2011 12:36PM CST			12/16/2011 3:04PM EST	
