CO	CO-4237-EWR-DTW	Mon., Dec.19, 2011 12:17 p.m.	Mon., Dec.19, 2011 12:16 p.m.		Mon., Dec.19, 2011 2:24 p.m.	Mon., Dec.19, 2011 2:17 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/19/11 12:17 PM (-05:00)			12/19/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/19/11 12:17 PM (-05:00)			12/19/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/19/11 12:17 PM (-05:00)			12/19/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/19/11 12:17 PM (-05:00)			12/19/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-19 12:16 PM	26		2011-12-19 02:17 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-19 12:16 PM	26		2011-12-19 02:17 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-19 12:16 PM	26		2011-12-19 02:17 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-19 12:17 PM	2011-12-19 12:16 PM		2011-12-19 2:24 PM	2011-12-19 2:17 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-19 12:17 PM	2011-12-19 12:16 PM		2011-12-19 2:24 PM	2011-12-19 2:17 PM	
flightview	CO-4237-EWR-DTW		12:33 PMDec 19			2:17 PMDec 19	
panynj	CO-4237-EWR-DTW		12:33 PMDec 19			2:17 PMDec 19	
gofox	CO-4237-EWR-DTW		12:33 PMDec 19			2:17 PMDec 19	
foxbusiness	CO-4237-EWR-DTW		12:33 PMDec 19			2:17 PMDec 19	
allegiantair	CO-4237-EWR-DTW		12:33 PMDec 19			2:17 PMDec 19	
boston	CO-4237-EWR-DTW		12:33 PMDec 19			2:13 PMDec 19	
orbitz	CO-4237-EWR-DTW	12:17pDec 19	12:16pDec 19	 -	2:24pDec 19	2:17pDec 19	 -
weather	CO-4237-EWR-DTW	2011-12-19 12:17 PM			2011-12-19 02:24 PM		
usatoday	CO-4237-EWR-DTW		12:33 PMDec 19			2:13 PMDec 19	
aa	AA-1007-TPA-MIA	December 19, 2011               01:55 PM    	December 19, 2011               01:55 PM    	 F78	December 19, 2011               03:00 PM    	December 19, 2011               03:01 PM    	 D30    
flightexplorer	AA-1007-TPA-MIA		12/19/2011 2:07PM EST			12/19/2011 2:46PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/19/11 2:07 PM (-05:00)			12/19/11 2:46 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/19/11 2:07 PM (-05:00)			12/19/11 2:46 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/19/11 2:07 PM (-05:00)			12/19/11 2:46 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/19/11 2:07 PM (-05:00)			12/19/11 2:46 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-19 01:55 PM	F78		2011-12-19 03:01 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-19 01:55 PM	F78		2011-12-19 03:01 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-19 01:55 PM	F78		2011-12-19 03:01 PM	D30
flightview	AA-1007-TPA-MIA		2:07 PMDec 19			3:01 PMDec 19	
panynj	AA-1007-TPA-MIA		2:07 PMDec 19			3:01 PMDec 19	
gofox	AA-1007-TPA-MIA		2:07 PMDec 19			3:01 PMDec 19	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 19			3:01 PMDec 19	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 19			3:01 PMDec 19	
boston	AA-1007-TPA-MIA		2:07 PMDec 19			2:43 PMDec 19	
travelocity	AA-1007-TPA-MIA	Dec 19 - 1:55pm	Dec 19 - 1:55pm	F78	Dec 19 - 3:00pm	Dec 19 - 3:01pm	D30
orbitz	AA-1007-TPA-MIA	1:55pDec 19	1:55pDec 19	 F78	3:00pDec 19	3:01pDec 19	 D30
weather	AA-1007-TPA-MIA	2011-12-19 01:55 PM			2011-12-19 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-19-11	2011-12-19  3:01P	
usatoday	AA-1007-TPA-MIA	2011-12-19 01:55 PM			2011-12-19 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pDec 19	1:55pDec 19	 F78	3:00pDec 19	3:01pDec 19	 D30
flightarrival	AA-1007-TPA-MIA	2011-12-19 01:55 PM			2011-12-19 03:00 PM		
aa	AA-1518-DFW-SDF	December 19, 2011               12:10 PM    	December 19, 2011               12:09 PM    	 C36	December 19, 2011               03:10 PM    	December 19, 2011               02:52 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/19/2011 12:20PM CST			12/19/2011 2:50PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/19/11 12:20 PM (-06:00)			12/19/11 2:50 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/19/11 12:20 PM (-06:00)			12/19/11 2:50 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/19/11 12:20 PM (-06:00)			12/19/11 2:50 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/19/11 12:20 PM (-06:00)			12/19/11 2:50 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-19 12:10PM CST	2011-12-19 12:20PM CST	 C36 	2011-12-19 02:54PM EST	2011-12-19 02:47PM EST	 A15 
