CO	CO-4237-EWR-DTW	Tue., Dec.20, 2011 12:17 p.m.	Tue., Dec.20, 2011 12:12 p.m.		Tue., Dec.20, 2011 2:24 p.m.	Tue., Dec.20, 2011 2:24 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/20/11 12:17 PM (-05:00)			12/20/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/20/11 12:17 PM (-05:00)			12/20/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/20/11 12:17 PM (-05:00)			12/20/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/20/11 12:17 PM (-05:00)			12/20/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-20 12:12 PM	26A		2011-12-20 02:24 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-20 12:12 PM	26A		2011-12-20 02:24 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-20 12:12 PM	26A		2011-12-20 02:24 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-20 12:17 PM	2011-12-20 12:12 PM		2011-12-20 2:24 PM	2011-12-20 2:24 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-20 12:17 PM	2011-12-20 12:12 PM		2011-12-20 2:24 PM	2011-12-20 2:24 PM	
flightview	CO-4237-EWR-DTW		12:35 PMDec 20			2:24 PMDec 20	
panynj	CO-4237-EWR-DTW		12:35 PMDec 20			2:24 PMDec 20	
gofox	CO-4237-EWR-DTW		12:35 PMDec 20			2:24 PMDec 20	
foxbusiness	CO-4237-EWR-DTW		12:35 PMDec 20			2:24 PMDec 20	
allegiantair	CO-4237-EWR-DTW		12:35 PMDec 20			2:24 PMDec 20	
boston	CO-4237-EWR-DTW		12:35 PMDec 20			2:14 PMDec 20	
travelocity	CO-4237-EWR-DTW	Dec 20 - 12:17pm	Dec 20 - 12:12pm	A26A	Dec 20 - 2:24pm	Dec 20 - 2:24pm	D-2
orbitz	CO-4237-EWR-DTW	12:17pDec 20	12:12pDec 20	 -	2:24pDec 20	2:24pDec 20	 -
weather	CO-4237-EWR-DTW	2011-12-20 12:17 PM			2011-12-20 02:24 PM		
mytripandmore	CO-4237-EWR-DTW	12:17pDec 20	12:12pDec 20	 -	2:24pDec 20	2:24pDec 20	 -
aa	AA-1007-TPA-MIA	December 20, 2011               01:55 PM    	December 20, 2011               01:50 PM    	 F78	December 20, 2011               03:00 PM    	December 20, 2011               02:55 PM    	 D3    
flightexplorer	AA-1007-TPA-MIA		12/20/2011 2:07PM EST			12/20/2011 2:47PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/20/11 2:06 PM (-05:00)			12/20/11 2:47 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/20/11 2:06 PM (-05:00)			12/20/11 2:47 PM (-05:00)	
