CO	CO-4237-EWR-DTW	Thu., Dec.22, 2011 12:17 p.m.	Thu., Dec.22, 2011 12:16 p.m.		Thu., Dec.22, 2011 2:24 p.m.	Thu., Dec.22, 2011 2:20 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/22/11 12:17 PM (-05:00)			12/22/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/22/11 12:17 PM (-05:00)			12/22/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/22/11 12:17 PM (-05:00)			12/22/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/22/11 12:17 PM (-05:00)			12/22/11 2:24 PM (-05:00)		
flightaware	CO-4237-EWR-DTW	2011-12-22 12:17PM EST	2011-12-22 12:17PM EST		2011-12-22 02:24PM EST	2011-12-22 02:24PM EST	
flightaware	CO-4237-EWR-DTW	2011-12-22 12:17PM EST	2011-12-22 12:17PM EST		2011-12-22 02:24PM EST	2011-12-22 02:24PM EST	
wunderground	CO-4237-EWR-DTW	2011-12-22 12:17PM EST	2011-12-22 12:17PM EST		2011-12-22 02:24PM EST	2011-12-22 02:24PM EST	
wunderground	CO-4237-EWR-DTW	2011-12-22 12:17PM EST	2011-12-22 12:17PM EST		2011-12-22 02:24PM EST	2011-12-22 02:24PM EST	
flights	CO-4237-EWR-DTW		2011-12-22 12:16 PM	28		2011-12-22 02:20 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-22 12:16 PM	28		2011-12-22 02:20 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-22 12:16 PM	28		2011-12-22 02:20 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-22 12:17 PM	2011-12-22 12:16 PM		2011-12-22 2:24 PM	2011-12-22 2:20 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-22 12:17 PM	2011-12-22 12:16 PM		2011-12-22 2:24 PM	2011-12-22 2:20 PM	
flightview	CO-4237-EWR-DTW		12:34 PMDec 22			2:20 PMDec 22	
panynj	CO-4237-EWR-DTW		12:34 PMDec 22			2:20 PMDec 22	
gofox	CO-4237-EWR-DTW		12:34 PMDec 22			2:20 PMDec 22	
foxbusiness	CO-4237-EWR-DTW		12:34 PMDec 22			2:20 PMDec 22	
allegiantair	CO-4237-EWR-DTW		12:34 PMDec 22			2:20 PMDec 22	
boston	CO-4237-EWR-DTW		12:34 PMDec 22			2:09 PMDec 22	
orbitz	CO-4237-EWR-DTW	12:17pDec 22	12:16pDec 22	 -	2:24pDec 22	2:20pDec 22	 -
weather	CO-4237-EWR-DTW	2011-12-22 12:17 PM			2011-12-22 02:24 PM		
ifly	CO-4237-EWR-DTW	2011-12-22 12:17 PM	2011-12-22 12:16 PM		2011-12-22 2:24 PM	2011-12-22 2:20 PM	
aa	AA-1007-TPA-MIA	December 22, 2011               01:55 PM    	December 22, 2011               01:53 PM    	 F78	December 22, 2011               03:00 PM    	December 22, 2011               03:00 PM    	 D30    
airtravelcenter	AA-1007-TPA-MIA		12/22/11 2:05 PM (-05:00)			12/22/11 2:48 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/22/11 2:05 PM (-05:00)			12/22/11 2:48 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/22/11 2:05 PM (-05:00)			12/22/11 2:48 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/22/11 2:05 PM (-05:00)			12/22/11 2:48 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-22 01:53 PM	F78		2011-12-22 03:00 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-22 01:53 PM	F78		2011-12-22 03:00 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-22 01:53 PM	F78		2011-12-22 03:00 PM	D30
flightview	AA-1007-TPA-MIA		2:06 PMDec 22			3:00 PMDec 22	
panynj	AA-1007-TPA-MIA		2:06 PMDec 22			3:00 PMDec 22	
gofox	AA-1007-TPA-MIA		2:06 PMDec 22			3:00 PMDec 22	
foxbusiness	AA-1007-TPA-MIA		2:06 PMDec 22			3:00 PMDec 22	
allegiantair	AA-1007-TPA-MIA		2:06 PMDec 22			3:00 PMDec 22	
boston	AA-1007-TPA-MIA		2:06 PMDec 22			2:45 PMDec 22	
travelocity	AA-1007-TPA-MIA	Dec 22 - 1:55pm	Dec 22 - 1:53pm	F78	Dec 22 - 3:00pm	Dec 22 - 3:00pm	D30
orbitz	AA-1007-TPA-MIA	1:55pDec 22	1:53pDec 22	 F78	3:00pDec 22	3:00pDec 22	 D30
weather	AA-1007-TPA-MIA	2011-12-22 01:55 PM			2011-12-22 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-22-11	2011-12-22  3:00P	
aa	AA-1518-DFW-SDF	December 22, 2011               12:10 PM    	December 22, 2011               12:54 PM    	 C2	December 22, 2011               03:10 PM    	December 22, 2011               03:50 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/22/2011 1:17PM CST			12/22/2011 3:50PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/22/11 1:16 PM (-06:00)			12/22/11 3:50 PM (-05:00)	
