CO	CO-4237-EWR-DTW	Sun., Dec.25, 2011 12:09 p.m.	Sun., Dec.25, 2011 12:02 p.m.		Sun., Dec.25, 2011 2:16 p.m.	Sun., Dec.25, 2011 2:03 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/25/11 12:09 PM (-05:00)			12/25/11 2:16 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/25/11 12:09 PM (-05:00)			12/25/11 2:16 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/25/11 12:09 PM (-05:00)			12/25/11 2:16 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/25/11 12:09 PM (-05:00)			12/25/11 2:16 PM (-05:00)		
flightaware	CO-4237-EWR-DTW	2011-12-25 12:17PM EST	2011-12-25 12:17PM EST		2011-12-25 02:24PM EST	2011-12-25 02:24PM EST	
wunderground	CO-4237-EWR-DTW	2011-12-25 12:17PM EST	2011-12-25 12:17PM EST		2011-12-25 02:24PM EST	2011-12-25 02:24PM EST	
flights	CO-4237-EWR-DTW		2011-12-25 12:02 PM	72		2011-12-25 02:03 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-25 12:02 PM	72		2011-12-25 02:03 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-25 12:02 PM	72		2011-12-25 02:03 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-25 12:09 PM	2011-12-25 12:02 PM		2011-12-25 2:16 PM	2011-12-25 2:03 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-25 12:09 PM	2011-12-25 12:02 PM		2011-12-25 2:16 PM	2011-12-25 2:03 PM	
flightview	CO-4237-EWR-DTW		12:20 PMDec 25			2:03 PMDec 25	
panynj	CO-4237-EWR-DTW		12:20 PMDec 25			2:03 PMDec 25	
gofox	CO-4237-EWR-DTW		12:20 PMDec 25			2:03 PMDec 25	
foxbusiness	CO-4237-EWR-DTW		12:20 PMDec 25			2:03 PMDec 25	
allegiantair	CO-4237-EWR-DTW		12:20 PMDec 25			2:03 PMDec 25	
boston	CO-4237-EWR-DTW		12:20 PMDec 25			1:53 PMDec 25	
orbitz	CO-4237-EWR-DTW	12:09pDec 25	12:02pDec 25	 -	2:16pDec 25	2:03pDec 25	 -
weather	CO-4237-EWR-DTW	2011-12-25 12:09 PM			2011-12-25 02:16 PM		
usatoday	CO-4237-EWR-DTW	2011-12-25 12:09 PM	2011-12-25 12:02 PM		2011-12-25 2:16 PM	2011-12-25 2:03 PM	
flightwise	CO-4237-EWR-DTW	2011-12-25 12:17PM EST	2011-12-25 12:17PM EST		2011-12-25 02:24PM EST	2011-12-25 02:24PM EST	
ua	UA-5457-SFO-IDA	Sun, Dec 25 4:30 PM	Sun, Dec 25 4:30 PM	70	Sun, Dec 25 7:25 PM	Sun, Dec 25 7:25 PM	--
airtravelcenter	UA-5457-SFO-IDA	12/25/11 4:30 PM (-08:00)			12/25/11 7:25 PM (-07:00)		
myrateplan	UA-5457-SFO-IDA	12/25/11 4:30 PM (-08:00)			12/25/11 7:25 PM (-07:00)		
helloflight	UA-5457-SFO-IDA	12/25/11 4:30 PM (-08:00)			12/25/11 7:25 PM (-07:00)		
flytecomm	UA-5457-SFO-IDA	12/25/11 4:30 PM (-08:00)			12/25/11 7:25 PM (-07:00)		
flightaware	UA-5457-SFO-IDA	2011-12-25 04:30PM PST	2011-12-25 04:40PM PST	 70 	2011-12-25 07:01PM MST	2011-12-25 07:11PM MST	
wunderground	UA-5457-SFO-IDA	2011-12-25 04:30PM PST	2011-12-25 04:40PM PST	 70 	2011-12-25 07:01PM MST	2011-12-25 07:11PM MST	
flights	UA-5457-SFO-IDA	04:30 PM  Sun 25-Dec-2011			07:25 PM  Sun 25-Dec-2011		
businesstravellogue	UA-5457-SFO-IDA	04:30 PM  Sun 25-Dec-2011			07:25 PM  Sun 25-Dec-2011		
flylouisville	UA-5457-SFO-IDA	04:30 PM  Sun 25-Dec-2011			07:25 PM  Sun 25-Dec-2011		
world-flight-tracker	UA-5457-SFO-IDA	2011-12-25 4:30 PM	2011-12-25 4:40 PM (Estimated runway)		2011-12-25 7:25 PM	2011-12-25 7:11 PM (Estimated runway)	
flightview	UA-5457-SFO-IDA	4:30 PM, Dec 25			7:25 PM, Dec 25		
panynj	UA-5457-SFO-IDA	4:30 PM, Dec 25			7:25 PM, Dec 25		
gofox	UA-5457-SFO-IDA	4:30 PM, Dec 25			7:25 PM, Dec 25		
foxbusiness	UA-5457-SFO-IDA	4:30 PM, Dec 25			7:25 PM, Dec 25		
allegiantair	UA-5457-SFO-IDA	4:30 PM, Dec 25			7:25 PM, Dec 25		
boston	UA-5457-SFO-IDA	4:30 PM, Dec 25	Not Available		7:25 PM, Dec 25	Not Available	
travelocity	UA-5457-SFO-IDA	Dec 25 - 4:30pm	Dec 25 - Not Available	70	Dec 25 - 7:25pm	Dec 25 - Not Available	CHK
orbitz	UA-5457-SFO-IDA	4:30pDec 25		 70	7:25pDec 25		 -
mytripandmore	UA-5457-SFO-IDA	4:30pDec 25		 70	7:25pDec 25		 -
flightwise	UA-5457-SFO-IDA	2011-12-25 04:30PM PST	2011-12-25 04:40PM PST	 70 	2011-12-25 07:01PM MST	2011-12-25 07:11PM MST	
aa	AA-1007-TPA-MIA	December 25, 2011               01:55 PM    	December 25, 2011               01:51 PM    	 F78	December 25, 2011               03:00 PM    	December 25, 2011               02:48 PM    	 D19    
flightexplorer	AA-1007-TPA-MIA		12/25/2011 2:02PM EST			12/25/2011 2:40PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/25/11 2:02 PM (-05:00)			12/25/11 2:40 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/25/11 2:02 PM (-05:00)			12/25/11 2:40 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/25/11 2:02 PM (-05:00)			12/25/11 2:40 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/25/11 2:02 PM (-05:00)			12/25/11 2:40 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-25 01:51 PM	F78		2011-12-25 02:48 PM	D19
businesstravellogue	AA-1007-TPA-MIA		2011-12-25 01:51 PM	F78		2011-12-25 02:48 PM	D19
flylouisville	AA-1007-TPA-MIA		2011-12-25 01:51 PM	F78		2011-12-25 02:48 PM	D19
flightview	AA-1007-TPA-MIA		2:02 PMDec 25			2:48 PMDec 25	
panynj	AA-1007-TPA-MIA		2:02 PMDec 25			2:48 PMDec 25	
gofox	AA-1007-TPA-MIA		2:02 PMDec 25			2:48 PMDec 25	
foxbusiness	AA-1007-TPA-MIA		2:02 PMDec 25			2:48 PMDec 25	
allegiantair	AA-1007-TPA-MIA		2:02 PMDec 25			2:48 PMDec 25	
boston	AA-1007-TPA-MIA		2:02 PMDec 25			2:37 PMDec 25	
travelocity	AA-1007-TPA-MIA	Dec 25 - 1:55pm	Dec 25 - 1:51pm	F78	Dec 25 - 3:00pm	Dec 25 - 2:48pm	D19
orbitz	AA-1007-TPA-MIA	1:55pDec 25	1:51pDec 25	 F78	3:00pDec 25	2:48pDec 25	 D19
weather	AA-1007-TPA-MIA	2011-12-25 01:55 PM			2011-12-25 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-25-11	2011-12-25  2:48P	
flightarrival	AA-1007-TPA-MIA	2011-12-25 01:55 PM			2011-12-25 03:00 PM		
ua	UA-3500-HPN-ORD	Sun, Dec 25 7:30 AM	Sun, Dec 25 7:29 AM	--	Sun, Dec 25 9:08 AM	Sun, Dec 25 9:06 AM	B22
airtravelcenter	UA-3500-HPN-ORD		12/25/11 7:43 AM (-05:00)			12/25/11 8:56 AM (-06:00)	
myrateplan	UA-3500-HPN-ORD		12/25/11 7:43 AM (-05:00)			12/25/11 8:56 AM (-06:00)	
helloflight	UA-3500-HPN-ORD		12/25/11 7:43 AM (-05:00)			12/25/11 8:56 AM (-06:00)	
flytecomm	UA-3500-HPN-ORD		12/25/11 7:43 AM (-05:00)			12/25/11 8:56 AM (-06:00)	
