CO	CO-4237-EWR-DTW	Sat., Dec.31, 2011 12:33 p.m.	Sat., Dec.31, 2011 12:29 p.m.		Sat., Dec.31, 2011 2:38 p.m.	Sat., Dec.31, 2011 2:15 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/31/11 12:33 PM (-05:00)			12/31/11 2:38 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/31/11 12:33 PM (-05:00)			12/31/11 2:38 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/31/11 12:33 PM (-05:00)			12/31/11 2:38 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/31/11 12:33 PM (-05:00)			12/31/11 2:38 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-31 12:29 PM	26A		2011-12-31 02:15 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-31 12:29 PM	26A		2011-12-31 02:15 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-31 12:29 PM	26A		2011-12-31 02:15 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-31 12:33 PM	2011-12-31 12:29 PM		2011-12-31 2:38 PM	2011-12-31 2:15 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-31 12:33 PM	2011-12-31 12:29 PM		2011-12-31 2:38 PM	2011-12-31 2:15 PM	
flightview	CO-4237-EWR-DTW		12:45 PMDec 31			2:15 PMDec 31	
panynj	CO-4237-EWR-DTW		12:45 PMDec 31			2:15 PMDec 31	
gofox	CO-4237-EWR-DTW		12:45 PMDec 31			2:15 PMDec 31	
foxbusiness	CO-4237-EWR-DTW		12:45 PMDec 31			2:15 PMDec 31	
allegiantair	CO-4237-EWR-DTW		12:45 PMDec 31			2:15 PMDec 31	
boston	CO-4237-EWR-DTW		12:45 PMDec 31			2:06 PMDec 31	
orbitz	CO-4237-EWR-DTW	12:33pDec 31	12:29pDec 31	 -	2:38pDec 31	2:15pDec 31	 -
weather	CO-4237-EWR-DTW	2011-12-31 12:33 PM			2011-12-31 02:38 PM		
mytripandmore	CO-4237-EWR-DTW	12:33pDec 31	12:29pDec 31	 -	2:38pDec 31	2:15pDec 31	 -
aa	AA-1007-TPA-MIA	December 31, 2011               01:55 PM    	December 31, 2011               01:52 PM    	 F79	December 31, 2011               03:00 PM    	December 31, 2011               02:56 PM    	 D30    
airtravelcenter	AA-1007-TPA-MIA		12/31/11 2:00 PM (-05:00)			12/31/11 2:43 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/31/11 2:00 PM (-05:00)			12/31/11 2:43 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/31/11 2:00 PM (-05:00)			12/31/11 2:43 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/31/11 2:00 PM (-05:00)			12/31/11 2:43 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-31 01:52 PM	F79		2011-12-31 02:56 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2011-12-31 01:52 PM	F79		2011-12-31 02:56 PM	D30
flylouisville	AA-1007-TPA-MIA		2011-12-31 01:52 PM	F79		2011-12-31 02:56 PM	D30
flightview	AA-1007-TPA-MIA		2:01 PMDec 31			2:56 PMDec 31	
panynj	AA-1007-TPA-MIA		2:01 PMDec 31			2:56 PMDec 31	
gofox	AA-1007-TPA-MIA		2:01 PMDec 31			2:56 PMDec 31	
foxbusiness	AA-1007-TPA-MIA		2:01 PMDec 31			2:56 PMDec 31	
allegiantair	AA-1007-TPA-MIA		2:01 PMDec 31			2:56 PMDec 31	
boston	AA-1007-TPA-MIA		2:01 PMDec 31			2:41 PMDec 31	
travelocity	AA-1007-TPA-MIA	Dec 31 - 1:55pm	Dec 31 - 1:52pm	F79	Dec 31 - 3:00pm	Dec 31 - 2:56pm	D30
orbitz	AA-1007-TPA-MIA	1:55pDec 31	1:52pDec 31	 F79	3:00pDec 31	2:56pDec 31	 D30
weather	AA-1007-TPA-MIA	2011-12-31 01:55 PM			2011-12-31 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-31-11	2011-12-31  2:56P	
aa	AA-1518-DFW-SDF	December 31, 2011               12:10 PM    	December 31, 2011               12:09 PM    	 A39	December 31, 2011               03:10 PM    	December 31, 2011               03:00 PM    	 A15    
airtravelcenter	AA-1518-DFW-SDF		12/31/11 12:20 PM (-06:00)			12/31/11 2:55 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/31/11 12:20 PM (-06:00)			12/31/11 2:55 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/31/11 12:20 PM (-06:00)			12/31/11 2:55 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/31/11 12:20 PM (-06:00)			12/31/11 2:55 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-31 12:10PM CST	2011-12-31 12:21PM CST	 A39 	2011-12-31 02:58PM EST	2011-12-31 02:54PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-31 12:10PM CST	2011-12-31 12:21PM CST	 A39 	2011-12-31 02:58PM EST	2011-12-31 02:54PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sat 31-Dec-2011	12:09 PM  Sat 31-Dec-2011	A39	03:10 PM  Sat 31-Dec-2011	03:00 PM  Sat 31-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Sat 31-Dec-2011	12:09 PM  Sat 31-Dec-2011	A39	03:10 PM  Sat 31-Dec-2011	03:00 PM  Sat 31-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Sat 31-Dec-2011	12:09 PM  Sat 31-Dec-2011	A39	03:10 PM  Sat 31-Dec-2011	03:00 PM  Sat 31-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-31 12:10 PM	2011-12-31 12:09 PM		2011-12-31 3:10 PM	2011-12-31 3:00 PM	
quicktrip	AA-1518-DFW-SDF	2011-12-31 12:10 PM	2011-12-31 12:09 PM		2011-12-31 3:10 PM	2011-12-31 3:00 PM	
world-flight-tracker	AA-1518-DFW-SDF	2011-12-31 12:10 PM	2011-12-31 12:09 PM		2011-12-31 3:10 PM	2011-12-31 3:00 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
panynj	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
gofox	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
boston	AA-1518-DFW-SDF	12:10 PM, Dec 31	12:20 PM, Dec 31		3:10 PM, Dec 31	2:54 PM, Dec 31	
travelocity	AA-1518-DFW-SDF	Dec 31 - 12:10pm	Dec 31 - 12:09pm	A39/A	Dec 31 - 3:10pm	Dec 31 - 3:00pm	A15
orbitz	AA-1518-DFW-SDF	12:10pDec 31	12:09pDec 31	 A39	3:10pDec 31	3:00pDec 31	 A15
weather	AA-1518-DFW-SDF	2011-12-31 12:10 PM			2011-12-31 03:10 PM		
dfw	AA-1518-DFW-SDF	2011-12-31 12:10 pm		A35			
mytripandmore	AA-1518-DFW-SDF	12:10pDec 31	12:09pDec 31	 A39	3:10pDec 31	3:00pDec 31	 A15
flightarrival	AA-1518-DFW-SDF	2011-12-31 12:10 PM	2011-12-31 12:09 PM		2011-12-31 3:10 PM	2011-12-31 3:00 PM	
ua	UA-2706-EWR-CLT	Sat, Dec 31 6:29 PM	Sat, Dec 31 6:29 PM	A37	Sat, Dec 31 8:33 PM	Sat, Dec 31 7:53 PM	C4
airtravelcenter	UA-2706-EWR-CLT		12/31/11 6:34 PM (-05:00)			12/31/11 7:52 PM (-05:00)	
myrateplan	UA-2706-EWR-CLT		12/31/11 6:34 PM (-05:00)			12/31/11 7:52 PM (-05:00)	
helloflight	UA-2706-EWR-CLT		12/31/11 6:34 PM (-05:00)			12/31/11 7:52 PM (-05:00)	
