ua	UA-479-SAN-SFO	Sun, Jan 1 7:57 PM	Sun, Jan 1 7:57 PM	13	Sun, Jan 1 9:35 PM	Sun, Jan 1 9:35 PM	84
flightexplorer	UA-479-SAN-SFO	1/1/2012 7:57PM PST			1/1/2012 9:35PM PST		
airtravelcenter	UA-479-SAN-SFO		1/1/12 8:07 PM (-08:00)			1/1/12 9:12 PM (-08:00)	
myrateplan	UA-479-SAN-SFO		1/1/12 8:07 PM (-08:00)			1/1/12 9:12 PM (-08:00)	
helloflight	UA-479-SAN-SFO		1/1/12 8:07 PM (-08:00)			1/1/12 9:12 PM (-08:00)	
flytecomm	UA-479-SAN-SFO		1/1/12 8:07 PM (-08:00)			1/1/12 9:12 PM (-08:00)	
flightaware	UA-479-SAN-SFO	2012-01-01 07:57PM PST	2012-01-01 08:07PM PST	 13 	2012-01-01 09:15PM PST	2012-01-01 09:25PM PST	 84 
wunderground	UA-479-SAN-SFO	2012-01-01 07:57PM PST	2012-01-01 08:07PM PST	 13 	2012-01-01 09:15PM PST	2012-01-01 09:25PM PST	 84 
flights	UA-479-SAN-SFO	07:57 PM  Sun 01-Jan-2012			09:35 PM  Sun 01-Jan-2012		
businesstravellogue	UA-479-SAN-SFO	07:57 PM  Sun 01-Jan-2012			09:35 PM  Sun 01-Jan-2012		
flylouisville	UA-479-SAN-SFO	07:57 PM  Sun 01-Jan-2012			09:35 PM  Sun 01-Jan-2012		
world-flight-tracker	UA-479-SAN-SFO	2012-01-01 7:57 PM	2012-01-01 8:07 PM (Estimated runway)		2012-01-01 9:35 PM	2012-01-01 9:12 PM (Estimated runway)	
flightview	UA-479-SAN-SFO	7:57 PM, Jan 01		13	9:35 PM, Jan 01		Terminal 3 - 84
panynj	UA-479-SAN-SFO	7:57 PM, Jan 01		13	9:35 PM, Jan 01		Terminal 3 - 84
gofox	UA-479-SAN-SFO	7:57 PM, Jan 01			9:35 PM, Jan 01		
foxbusiness	UA-479-SAN-SFO	7:57 PM, Jan 01		13	9:35 PM, Jan 01		Terminal 3 - 84
allegiantair	UA-479-SAN-SFO	7:57 PM, Jan 01		13	9:35 PM, Jan 01		Terminal 3 - 84
boston	UA-479-SAN-SFO	7:57 PM, Jan 01	Not Available		9:35 PM, Jan 01	Not Available	
orbitz	UA-479-SAN-SFO	7:57pJan 1		 13	9:35pJan 1		 81
weather	UA-479-SAN-SFO	2012-01-01 07:57 PM			2012-01-01 09:35 PM		
mytripandmore	UA-479-SAN-SFO	7:57pJan 1		 13	9:35pJan 1		 81
CO	CO-4237-EWR-DTW	Sun., Jan.01, 2012 12:09 p.m.	Sun., Jan.01, 2012 12:03 p.m.		Sun., Jan.01, 2012 2:16 p.m.	Sun., Jan.01, 2012 1:54 p.m.	
airtravelcenter	CO-4237-EWR-DTW	1/1/12 12:09 PM (-05:00)			1/1/12 2:16 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	1/1/12 12:09 PM (-05:00)			1/1/12 2:16 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	1/1/12 12:09 PM (-05:00)			1/1/12 2:16 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	1/1/12 12:09 PM (-05:00)			1/1/12 2:16 PM (-05:00)		
flights	CO-4237-EWR-DTW		2012-01-01 12:03 PM	28		2012-01-01 01:54 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2012-01-01 12:03 PM	28		2012-01-01 01:54 PM	D2
flylouisville	CO-4237-EWR-DTW		2012-01-01 12:03 PM	28		2012-01-01 01:54 PM	D2
flightstats	CO-4237-EWR-DTW	2012-01-01 12:09 PM	2012-01-01 12:03 PM		2012-01-01 2:16 PM	2012-01-01 1:54 PM	
quicktrip	CO-4237-EWR-DTW	2012-01-01 12:09 PM	2012-01-01 12:03 PM		2012-01-01 2:16 PM	2012-01-01 1:54 PM	
flightview	CO-4237-EWR-DTW		12:22 PMJan 01			1:54 PMJan 01	
panynj	CO-4237-EWR-DTW		12:22 PMJan 01			1:54 PMJan 01	
gofox	CO-4237-EWR-DTW		12:22 PMJan 01			1:54 PMJan 01	
foxbusiness	CO-4237-EWR-DTW		12:22 PMJan 01			1:54 PMJan 01	
allegiantair	CO-4237-EWR-DTW		12:22 PMJan 01			1:54 PMJan 01	
boston	CO-4237-EWR-DTW		12:22 PMJan 01			1:51 PMJan 01	
orbitz	CO-4237-EWR-DTW	12:09pJan 1		 -	2:16pJan 1		 -
weather	CO-4237-EWR-DTW	2012-01-01 12:09 PM			2012-01-01 02:16 PM		
ifly	CO-4237-EWR-DTW	2012-01-01 12:09 PM	2012-01-01 12:03 PM		2012-01-01 2:16 PM	2012-01-01 1:54 PM	
usatoday	CO-4237-EWR-DTW	2012-01-01 12:09 PM			2012-01-01 02:16 PM		
mytripandmore	CO-4237-EWR-DTW	12:09pJan 1		 -	2:16pJan 1		 -
flightarrival	CO-4237-EWR-DTW		12:22 PMJan 01			1:51 PMJan 01	
aa	AA-1007-TPA-MIA	January 1, 2012               01:55 PM    	January 1, 2012               01:52 PM    	 F78	January 1, 2012               03:00 PM    	January 1, 2012               02:54 PM    	 D30    
flightexplorer	AA-1007-TPA-MIA		1/1/2012 2:02PM EST			1/1/2012 2:44PM EST	
airtravelcenter	AA-1007-TPA-MIA		1/1/12 2:02 PM (-05:00)			1/1/12 2:44 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		1/1/12 2:02 PM (-05:00)			1/1/12 2:44 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		1/1/12 2:02 PM (-05:00)			1/1/12 2:44 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		1/1/12 2:02 PM (-05:00)			1/1/12 2:44 PM (-05:00)	
flights	AA-1007-TPA-MIA		2012-01-01 01:52 PM	F78		2012-01-01 02:54 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2012-01-01 01:52 PM	F78		2012-01-01 02:54 PM	D30
flylouisville	AA-1007-TPA-MIA		2012-01-01 01:52 PM	F78		2012-01-01 02:54 PM	D30
flightview	AA-1007-TPA-MIA		2:02 PMJan 01			2:54 PMJan 01	
panynj	AA-1007-TPA-MIA		2:02 PMJan 01			2:54 PMJan 01	
gofox	AA-1007-TPA-MIA		2:02 PMJan 01			2:54 PMJan 01	
foxbusiness	AA-1007-TPA-MIA		2:02 PMJan 01			2:54 PMJan 01	
allegiantair	AA-1007-TPA-MIA		2:02 PMJan 01			2:54 PMJan 01	
boston	AA-1007-TPA-MIA		2:02 PMJan 01			2:42 PMJan 01	
orbitz	AA-1007-TPA-MIA	1:55pJan 1	1:52pJan 1	 F78	3:00pJan 1	2:54pJan 1	 D30
weather	AA-1007-TPA-MIA	2012-01-01 01:55 PM			2012-01-01 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 01-01-12	2012-01-01  2:54P	
mytripandmore	AA-1007-TPA-MIA	1:55pJan 1	1:52pJan 1	 F78	3:00pJan 1	2:54pJan 1	 D30
flightarrival	AA-1007-TPA-MIA	2012-01-01 01:55 PM			2012-01-01 03:00 PM		
aa	AA-1518-DFW-SDF	January 1, 2012               12:10 PM    	January 1, 2012               12:15 PM    	 C7	January 1, 2012               03:10 PM    	January 1, 2012               03:10 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		1/1/2012 12:29PM CST			1/1/2012 3:07PM EST	
airtravelcenter	AA-1518-DFW-SDF		1/1/12 12:29 PM (-06:00)			1/1/12 3:07 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		1/1/12 12:29 PM (-06:00)			1/1/12 3:07 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		1/1/12 12:29 PM (-06:00)			1/1/12 3:07 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		1/1/12 12:29 PM (-06:00)			1/1/12 3:07 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2012-01-01 12:10PM CST	2012-01-01 12:29PM CST	 C7 	2012-01-01 02:57PM EST	2012-01-01 03:05PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2012-01-01 12:10PM CST	2012-01-01 12:29PM CST	 C7 	2012-01-01 02:57PM EST	2012-01-01 03:05PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Sun 01-Jan-2012	12:15 PM  Sun 01-Jan-2012	C7	03:10 PM  Sun 01-Jan-2012	03:10 PM  Sun 01-Jan-2012	A15
