CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
airtravelcenter	CO-4237-EWR-DTW	1/2/12 12:17 PM (-05:00)			1/2/12 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	1/2/12 12:17 PM (-05:00)			1/2/12 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	1/2/12 12:17 PM (-05:00)			1/2/12 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	1/2/12 12:17 PM (-05:00)			1/2/12 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2012-01-02 12:17 PM	20		2012-01-02 02:24 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2012-01-02 12:17 PM	20		2012-01-02 02:24 PM	D2
flylouisville	CO-4237-EWR-DTW		2012-01-02 12:17 PM	20		2012-01-02 02:24 PM	D2
flightstats	CO-4237-EWR-DTW	2012-01-02 12:17 PM	2012-01-02 12:17 PM (Estimated)		2012-01-02 2:24 PM	2012-01-02 2:24 PM (Estimated)	
quicktrip	CO-4237-EWR-DTW	2012-01-02 12:17 PM	2012-01-02 12:17 PM (Estimated)		2012-01-02 2:24 PM	2012-01-02 2:24 PM (Estimated)	
flightview	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
panynj	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
gofox	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
foxbusiness	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
allegiantair	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
boston	CO-4237-EWR-DTW	12:17 PMJan 02			2:24 PMJan 02		
orbitz	CO-4237-EWR-DTW	12:17pJan 2		 A20	2:24pJan 2		 D-2
orbitz	CO-4237-EWR-DTW	12:17pJan 2		 -	2:24pJan 2		 -
weather	CO-4237-EWR-DTW	2012-01-02 12:17 PM			2012-01-02 02:24 PM		
ifly	CO-4237-EWR-DTW	2012-01-02 12:17 PM	2012-01-02 12:17 PM (Estimated)		2012-01-02 2:24 PM	2012-01-02 2:24 PM (Estimated)	
usatoday	CO-4237-EWR-DTW	2012-01-02 12:17 PM			2012-01-02 02:24 PM		
flightarrival	CO-4237-EWR-DTW	2012-01-02 12:17 PM			2012-01-02 02:24 PM		
aa	AA-1007-TPA-MIA	January 2, 2012               01:55 PM    	January 2, 2012               01:48 PM    	 F78	January 2, 2012               03:00 PM    	January 2, 2012               03:07 PM    	 D30    
airtravelcenter	AA-1007-TPA-MIA		1/2/12 2:00 PM (-05:00)			1/2/12 2:34 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		1/2/12 2:00 PM (-05:00)			1/2/12 2:34 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		1/2/12 2:00 PM (-05:00)			1/2/12 2:34 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		1/2/12 2:00 PM (-05:00)			1/2/12 2:34 PM (-05:00)	
flights	AA-1007-TPA-MIA		2012-01-02 01:48 PM	F78		2012-01-02 03:07 PM	D30
businesstravellogue	AA-1007-TPA-MIA		2012-01-02 01:48 PM	F78		2012-01-02 03:07 PM	D30
flylouisville	AA-1007-TPA-MIA		2012-01-02 01:48 PM	F78		2012-01-02 03:07 PM	D30
flightview	AA-1007-TPA-MIA		2:01 PMJan 02			3:07 PMJan 02	
panynj	AA-1007-TPA-MIA		2:01 PMJan 02			3:07 PMJan 02	
gofox	AA-1007-TPA-MIA		2:01 PMJan 02			3:07 PMJan 02	
foxbusiness	AA-1007-TPA-MIA		2:01 PMJan 02			3:07 PMJan 02	
allegiantair	AA-1007-TPA-MIA		2:01 PMJan 02			3:07 PMJan 02	
boston	AA-1007-TPA-MIA		2:01 PMJan 02			2:44 PMJan 02	
orbitz	AA-1007-TPA-MIA	1:55pJan 2	1:48pJan 2	 F78	3:00pJan 2	3:07pJan 2	 D30
weather	AA-1007-TPA-MIA	2012-01-02 01:55 PM			2012-01-02 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 01-02-12	2012-01-02  3:07P	
usatoday	AA-1007-TPA-MIA	2012-01-02 01:55 PM			2012-01-02 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	1:55pJan 2	1:48pJan 2	 F78	3:00pJan 2	3:07pJan 2	 D30
flightarrival	AA-1007-TPA-MIA	2012-01-02 01:55 PM			2012-01-02 03:00 PM		
aa	AA-1518-DFW-SDF	January 2, 2012               12:10 PM    	January 2, 2012               12:07 PM    	 A20	January 2, 2012               03:10 PM    	January 2, 2012               03:07 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		1/2/2012 12:20PM CST			1/2/2012 3:06PM EST	
airtravelcenter	AA-1518-DFW-SDF		1/2/12 12:20 PM (-06:00)			1/2/12 3:06 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		1/2/12 12:20 PM (-06:00)			1/2/12 3:06 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		1/2/12 12:20 PM (-06:00)			1/2/12 3:06 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		1/2/12 12:20 PM (-06:00)			1/2/12 3:06 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2012-01-02 12:10PM CST	2012-01-02 12:20PM CST	 A20 	2012-01-02 03:02PM EST	2012-01-02 03:03PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2012-01-02 12:10PM CST	2012-01-02 12:20PM CST	 A20 	2012-01-02 03:02PM EST	2012-01-02 03:03PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Mon 02-Jan-2012	12:07 PM  Mon 02-Jan-2012	A20	03:10 PM  Mon 02-Jan-2012	03:07 PM  Mon 02-Jan-2012	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Mon 02-Jan-2012	12:07 PM  Mon 02-Jan-2012	A20	03:10 PM  Mon 02-Jan-2012	03:07 PM  Mon 02-Jan-2012	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Mon 02-Jan-2012	12:07 PM  Mon 02-Jan-2012	A20	03:10 PM  Mon 02-Jan-2012	03:07 PM  Mon 02-Jan-2012	A15
flightstats	AA-1518-DFW-SDF	2012-01-02 12:10 PM	2012-01-02 12:07 PM		2012-01-02 3:10 PM	2012-01-02 3:07 PM	
quicktrip	AA-1518-DFW-SDF	2012-01-02 12:10 PM	2012-01-02 12:07 PM		2012-01-02 3:10 PM	2012-01-02 3:07 PM	
world-flight-tracker	AA-1518-DFW-SDF	2012-01-02 12:10 PM	2012-01-02 12:07 PM		2012-01-02 3:10 PM	2012-01-02 3:07 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
panynj	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
gofox	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
boston	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
orbitz	AA-1518-DFW-SDF	12:10pJan 2	12:07pJan 2	 A20	3:10pJan 2	3:07pJan 2	 A15
weather	AA-1518-DFW-SDF	2012-01-02 12:10 PM			2012-01-02 03:10 PM		
ifly	AA-1518-DFW-SDF	2012-01-02 12:10 PM	2012-01-02 12:07 PM		2012-01-02 3:10 PM	2012-01-02 3:07 PM	
usatoday	AA-1518-DFW-SDF	2012-01-02 12:10 PM	2012-01-02 12:07 PM		2012-01-02 3:10 PM	2012-01-02 3:07 PM	
mytripandmore	AA-1518-DFW-SDF	12:10pJan 2	12:07pJan 2	 A20	3:10pJan 2	3:07pJan 2	 A15
flightarrival	AA-1518-DFW-SDF	12:10 PM, Jan 02	12:20 PM, Jan 02		3:10 PM, Jan 02	3:04 PM, Jan 02	
CO	CO-4284-EWR-SDF	Mon., Jan.02, 2012 4:29 p.m.	Mon., Jan.02, 2012 5:59 p.m.		Mon., Jan.02, 2012 6:52 p.m.	Mon., Jan.02, 2012 8:10 p.m.	
flights	CO-4284-EWR-SDF		2012-01-02 05:59 PM	26A		2012-01-02 08:10 PM	A11
businesstravellogue	CO-4284-EWR-SDF		2012-01-02 05:59 PM	26A		2012-01-02 08:10 PM	A11
flylouisville	CO-4284-EWR-SDF		2012-01-02 05:59 PM	26A		2012-01-02 08:10 PM	A11
flightstats	CO-4284-EWR-SDF	2012-01-02 4:29 PM	2012-01-02 5:59 PM		2012-01-02 6:52 PM	2012-01-02 8:10 PM	
quicktrip	CO-4284-EWR-SDF	2012-01-02 4:29 PM	2012-01-02 5:59 PM		2012-01-02 6:52 PM	2012-01-02 8:10 PM	
flightview	CO-4284-EWR-SDF		6:16 PMJan 02			8:10 PMJan 02	
panynj	CO-4284-EWR-SDF		6:16 PMJan 02			8:10 PMJan 02	
gofox	CO-4284-EWR-SDF		6:16 PMJan 02			8:10 PMJan 02	
foxbusiness	CO-4284-EWR-SDF		6:16 PMJan 02			8:10 PMJan 02	
allegiantair	CO-4284-EWR-SDF		6:16 PMJan 02			8:10 PMJan 02	
boston	CO-4284-EWR-SDF		6:16 PMJan 02			8:05 PMJan 02	
orbitz	CO-4284-EWR-SDF	4:29pJan 2	5:59pJan 2	 -	6:52pJan 2	8:10pJan 2	 -
