aa	AA-1007-TPA-MIA	January 3, 2012               01:55 PM    	January 3, 2012               01:51 PM    	 F78	January 3, 2012               03:00 PM    	January 3, 2012               02:48 PM    	 D12    
flightexplorer	AA-1007-TPA-MIA		1/3/2012 2:00PM EST			1/3/2012 2:43PM EST	
airtravelcenter	AA-1007-TPA-MIA		1/3/12 1:59 PM (-05:00)			1/3/12 2:43 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		1/3/12 1:59 PM (-05:00)			1/3/12 2:43 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		1/3/12 1:59 PM (-05:00)			1/3/12 2:43 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		1/3/12 1:59 PM (-05:00)			1/3/12 2:43 PM (-05:00)	
flights	AA-1007-TPA-MIA		2012-01-03 01:51 PM	F78		2012-01-03 02:48 PM	D12
businesstravellogue	AA-1007-TPA-MIA		2012-01-03 01:51 PM	F78		2012-01-03 02:48 PM	D12
flylouisville	AA-1007-TPA-MIA		2012-01-03 01:51 PM	F78		2012-01-03 02:48 PM	D12
flightview	AA-1007-TPA-MIA		2:00 PMJan 03			2:48 PMJan 03	
panynj	AA-1007-TPA-MIA		2:00 PMJan 03			2:48 PMJan 03	
gofox	AA-1007-TPA-MIA		2:00 PMJan 03			2:48 PMJan 03	
foxbusiness	AA-1007-TPA-MIA		2:00 PMJan 03			2:48 PMJan 03	
allegiantair	AA-1007-TPA-MIA		2:00 PMJan 03			2:48 PMJan 03	
boston	AA-1007-TPA-MIA		2:00 PMJan 03			2:40 PMJan 03	
orbitz	AA-1007-TPA-MIA	1:55pJan 3	1:51pJan 3	 F78	3:00pJan 3	2:48pJan 3	 D12
weather	AA-1007-TPA-MIA	2012-01-03 01:55 PM			2012-01-03 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 01-03-12	2012-01-03  2:48P	
mytripandmore	AA-1007-TPA-MIA	1:55pJan 3	1:51pJan 3	 F78	3:00pJan 3	2:48pJan 3	 D12
flightarrival	AA-1007-TPA-MIA	2012-01-03 01:55 PM			2012-01-03 03:00 PM		
aa	AA-1518-DFW-SDF	January 3, 2012               12:10 PM    	January 3, 2012               12:10 PM    	 C39	January 3, 2012               03:10 PM    	January 3, 2012               03:07 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		1/3/2012 12:24PM CST			1/3/2012 3:06PM EST	
airtravelcenter	AA-1518-DFW-SDF		1/3/12 12:23 PM (-06:00)			1/3/12 3:06 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		1/3/12 12:23 PM (-06:00)			1/3/12 3:06 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		1/3/12 12:23 PM (-06:00)			1/3/12 3:06 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		1/3/12 12:23 PM (-06:00)			1/3/12 3:06 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2012-01-03 12:10PM CST	2012-01-03 12:24PM CST	 C39 	2012-01-03 03:03PM EST	2012-01-03 03:03PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2012-01-03 12:10PM CST	2012-01-03 12:24PM CST	 C39 	2012-01-03 03:03PM EST	2012-01-03 03:03PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Tue 03-Jan-2012	12:10 PM  Tue 03-Jan-2012	C39	03:10 PM  Tue 03-Jan-2012	03:07 PM  Tue 03-Jan-2012	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Tue 03-Jan-2012	12:10 PM  Tue 03-Jan-2012	C39	03:10 PM  Tue 03-Jan-2012	03:07 PM  Tue 03-Jan-2012	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Tue 03-Jan-2012	12:10 PM  Tue 03-Jan-2012	C39	03:10 PM  Tue 03-Jan-2012	03:07 PM  Tue 03-Jan-2012	A15
flightstats	AA-1518-DFW-SDF	2012-01-03 12:10 PM	2012-01-03 12:10 PM		2012-01-03 3:10 PM	2012-01-03 3:07 PM	
quicktrip	AA-1518-DFW-SDF	2012-01-03 12:10 PM	2012-01-03 12:10 PM		2012-01-03 3:10 PM	2012-01-03 3:07 PM	
world-flight-tracker	AA-1518-DFW-SDF	2012-01-03 12:10 PM	2012-01-03 12:10 PM		2012-01-03 3:10 PM	2012-01-03 3:07 PM	
flightview	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
panynj	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
gofox	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
foxbusiness	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
allegiantair	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
boston	AA-1518-DFW-SDF	12:10 PM, Jan 03	12:24 PM, Jan 03		3:10 PM, Jan 03	3:04 PM, Jan 03	
