aa	AA-1007-TPA-MIA	12/05/2011 01:55 PM	12/05/2011 02:11 PM	F78	12/05/2011 03:00 PM	12/05/2011 03:01 PM	D5
flightexplorer	AA-1007-TPA-MIA		12/5/2011 2:11PM EST			12/5/2011 2:55PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/5/11 2:10 PM (-05:00)			12/5/11 2:55 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/5/11 2:10 PM (-05:00)			12/5/11 2:55 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/5/11 2:10 PM (-05:00)			12/5/11 2:55 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/5/11 2:10 PM (-05:00)			12/5/11 2:55 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-05 02:11 PM	F78		2011-12-05 03:01 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-05 02:11 PM	F78		2011-12-05 03:01 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-05 02:11 PM	F78		2011-12-05 03:01 PM	D5
flightview	AA-1007-TPA-MIA		2:11 PMDec 05			3:01 PMDec 05	
panynj	AA-1007-TPA-MIA		2:11 PMDec 05			3:01 PMDec 05	
gofox	AA-1007-TPA-MIA		2:11 PMDec 05			3:01 PMDec 05	
foxbusiness	AA-1007-TPA-MIA		2:11 PMDec 05			3:01 PMDec 05	
allegiantair	AA-1007-TPA-MIA		2:11 PMDec 05			3:01 PMDec 05	
boston	AA-1007-TPA-MIA		2:11 PMDec 05			2:53 PMDec 05	
travelocity	AA-1007-TPA-MIA	Dec 05 - 1:55pm	Dec 05 - 1:57pm	F78	Dec 05 - 3:00pm	Dec 05 - 3:01pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 5	1:57pDec 5	 F78	3:00pDec 5	3:01pDec 5	 D5
weather	AA-1007-TPA-MIA	2011-12-05 01:55 PM			2011-12-05 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-05-11	2011-12-05  3:01P	
mytripandmore	AA-1007-TPA-MIA	Dec 05 - 1:55pm	Dec 05 - 1:57pm	F78	Dec 05 - 3:00pm	Dec 05 - 3:01pm	D5
flightarrival	AA-1007-TPA-MIA	2011-12-05 01:55 PM			2011-12-05 03:00 PM		
ua	UA-4642-IAH-AMA	Mon, Dec 5 6:20 PM	Mon, Dec 5 6:20 PM	B69	Mon, Dec 5 8:03 PM	Mon, Dec 5 8:03 PM	--
airtravelcenter	UA-4642-IAH-AMA	12/5/11 6:20 PM (-06:00)			12/5/11 8:03 PM (-06:00)		
myrateplan	UA-4642-IAH-AMA	12/5/11 6:20 PM (-06:00)			12/5/11 8:03 PM (-06:00)		
helloflight	UA-4642-IAH-AMA	12/5/11 6:20 PM (-06:00)			12/5/11 8:03 PM (-06:00)		
flytecomm	UA-4642-IAH-AMA	12/5/11 6:20 PM (-06:00)			12/5/11 8:03 PM (-06:00)		
flights	UA-4642-IAH-AMA	06:20 PM  Mon 05-Dec-2011			08:03 PM  Mon 05-Dec-2011		
businesstravellogue	UA-4642-IAH-AMA	06:20 PM  Mon 05-Dec-2011			08:03 PM  Mon 05-Dec-2011		
flylouisville	UA-4642-IAH-AMA	06:20 PM  Mon 05-Dec-2011			08:03 PM  Mon 05-Dec-2011		
flightstats	UA-4642-IAH-AMA	2011-12-05 6:20 PM	2011-12-05 6:20 PM (Estimated)		2011-12-05 8:03 PM	2011-12-05 8:03 PM (Estimated)	
quicktrip	UA-4642-IAH-AMA	2011-12-05 6:20 PM	2011-12-05 6:20 PM (Estimated)		2011-12-05 8:03 PM	2011-12-05 8:03 PM (Estimated)	
world-flight-tracker	UA-4642-IAH-AMA	2011-12-05 6:20 PM	2011-12-05 6:20 PM (Estimated)		2011-12-05 8:03 PM	2011-12-05 8:03 PM (Estimated)	
flightview	UA-4642-IAH-AMA	6:20 PM, Dec 05			8:03 PM, Dec 05		
panynj	UA-4642-IAH-AMA	6:20 PM, Dec 05			8:03 PM, Dec 05		
gofox	UA-4642-IAH-AMA	6:20 PM, Dec 05			8:03 PM, Dec 05		
foxbusiness	UA-4642-IAH-AMA	6:20 PM, Dec 05			8:03 PM, Dec 05		
allegiantair	UA-4642-IAH-AMA	6:20 PM, Dec 05			8:03 PM, Dec 05		
boston	UA-4642-IAH-AMA	6:20 PM, Dec 05	Not Available		8:03 PM, Dec 05	Not Available	
travelocity	UA-4642-IAH-AMA	Dec 05 - 6:20pm	Dec 05 - Contact Airline	Not provided by airline	Dec 05 - 8:03pm	Dec 05 - Contact Airline	Not provided by airline
orbitz	UA-4642-IAH-AMA	6:20pDec 5		 B69	8:03pDec 5		 -
ua	UA-432-SFO-ORD	Mon, Dec 5 6:00 AM	Mon, Dec 5 6:02 AM	83	Mon, Dec 5 12:18 PM	Mon, Dec 5 12:31 PM	C19
flightexplorer	UA-432-SFO-ORD		12/5/2011 6:28AM PST			12/5/2011 12:21PM CST	
airtravelcenter	UA-432-SFO-ORD		12/5/11 6:30 AM (-08:00)			12/5/11 12:21 PM (-06:00)	
myrateplan	UA-432-SFO-ORD		12/5/11 6:30 AM (-08:00)			12/5/11 12:21 PM (-06:00)	
helloflight	UA-432-SFO-ORD		12/5/11 6:30 AM (-08:00)			12/5/11 12:21 PM (-06:00)	
flytecomm	UA-432-SFO-ORD		12/5/11 6:30 AM (-08:00)			12/5/11 12:21 PM (-06:00)	
flights	UA-432-SFO-ORD		2011-12-05 06:02 AM	83		2011-12-05 12:31 PM	C19
businesstravellogue	UA-432-SFO-ORD		2011-12-05 06:02 AM	83		2011-12-05 12:31 PM	C19
flylouisville	UA-432-SFO-ORD		2011-12-05 06:02 AM	83		2011-12-05 12:31 PM	C19
flightview	UA-432-SFO-ORD		6:30 AMDec 05			12:31 PMDec 05	
panynj	UA-432-SFO-ORD		6:30 AMDec 05			12:31 PMDec 05	
gofox	UA-432-SFO-ORD		6:30 AMDec 05			12:31 PMDec 05	
foxbusiness	UA-432-SFO-ORD		6:30 AMDec 05			12:31 PMDec 05	
allegiantair	UA-432-SFO-ORD		6:30 AMDec 05			12:31 PMDec 05	
boston	UA-432-SFO-ORD		6:30 AMDec 05			12:24 PMDec 05	
travelocity	UA-432-SFO-ORD	Dec 05 - Not Available	Dec 05 - 6:29am	83	Dec 05 - Not Available	Dec 05 - 12:31pm	C19
orbitz	UA-432-SFO-ORD	6:27aDec 5	6:29aDec 5	 83	12:18pDec 5	12:31pDec 5	 C19
weather	UA-432-SFO-ORD	2011-12-05 06:00 AM			2011-12-05 12:18 PM		
ord	UA-432-SFO-ORD	2011-12-05 6:00 AM		83	2011-12-05 12:18 PM		C19
usatoday	UA-432-SFO-ORD	2011-12-05 06:00 AM			2011-12-05 12:18 PM		
CO	CO-4461-EWR-CVG	Mon., Dec.05, 2011 1:55 p.m.	Mon., Dec.05, 2011 1:53 p.m.		Mon., Dec.05, 2011 4:00 p.m.	Mon., Dec.05, 2011 4:25 p.m.	
