aa	AA-1007-TPA-MIA	December 8, 2011               01:55 PM    	December 8, 2011               01:55 PM    	 F80	December 8, 2011               03:00 PM    	December 8, 2011               02:55 PM    	 D12    
flightexplorer	AA-1007-TPA-MIA		12/8/2011 2:07PM EST			12/8/2011 2:53PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/8/11 2:07 PM (-05:00)			12/8/11 2:53 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/8/11 2:07 PM (-05:00)			12/8/11 2:53 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/8/11 2:07 PM (-05:00)			12/8/11 2:53 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/8/11 2:07 PM (-05:00)			12/8/11 2:53 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-08 01:55 PM	F80		2011-12-08 02:55 PM	D12
businesstravellogue	AA-1007-TPA-MIA		2011-12-08 01:55 PM	F80		2011-12-08 02:55 PM	D12
flylouisville	AA-1007-TPA-MIA		2011-12-08 01:55 PM	F80		2011-12-08 02:55 PM	D12
flightview	AA-1007-TPA-MIA		2:07 PMDec 08			2:55 PMDec 08	
panynj	AA-1007-TPA-MIA		2:07 PMDec 08			2:55 PMDec 08	
gofox	AA-1007-TPA-MIA		2:07 PMDec 08			2:55 PMDec 08	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 08			2:55 PMDec 08	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 08			2:55 PMDec 08	
boston	AA-1007-TPA-MIA		2:07 PMDec 08			2:51 PMDec 08	
travelocity	AA-1007-TPA-MIA	Dec 08 - 1:55pm	Dec 08 - 1:55pm	F80	Dec 08 - 3:00pm	Dec 08 - 2:55pm	D12
orbitz	AA-1007-TPA-MIA	1:55pDec 8	1:55pDec 8	 F80	3:00pDec 8	2:55pDec 8	 D12
weather	AA-1007-TPA-MIA	2011-12-08 01:55 PM			2011-12-08 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-08-11	2011-12-08  2:55P	
mytripandmore	AA-1007-TPA-MIA	Dec 08 - 1:55pm	Dec 08 - 1:55pm	F80	Dec 08 - 3:00pm	Dec 08 - 2:55pm	D12
aa	AA-1518-DFW-SDF	December 8, 2011               12:10 PM    	December 8, 2011               12:28 PM    	 A23	December 8, 2011               03:10 PM    	December 8, 2011               03:14 PM    	 A15    
flightexplorer	AA-1518-DFW-SDF		12/8/2011 12:38PM CST			12/8/2011 3:09PM EST	
airtravelcenter	AA-1518-DFW-SDF		12/8/11 12:36 PM (-06:00)			12/8/11 3:09 PM (-05:00)	
myrateplan	AA-1518-DFW-SDF		12/8/11 12:36 PM (-06:00)			12/8/11 3:09 PM (-05:00)	
helloflight	AA-1518-DFW-SDF		12/8/11 12:36 PM (-06:00)			12/8/11 3:09 PM (-05:00)	
flytecomm	AA-1518-DFW-SDF		12/8/11 12:36 PM (-06:00)			12/8/11 3:09 PM (-05:00)	
flightaware	AA-1518-DFW-SDF	2011-12-08 12:10PM CST	2011-12-08 12:38PM CST	 A23 	2011-12-08 02:49PM EST	2011-12-08 03:07PM EST	 A15 
wunderground	AA-1518-DFW-SDF	2011-12-08 12:10PM CST	2011-12-08 12:38PM CST	 A23 	2011-12-08 02:49PM EST	2011-12-08 03:07PM EST	 A15 
flights	AA-1518-DFW-SDF	12:10 PM  Thu 08-Dec-2011	12:28 PM  Thu 08-Dec-2011	A23	03:10 PM  Thu 08-Dec-2011	03:14 PM  Thu 08-Dec-2011	A15
businesstravellogue	AA-1518-DFW-SDF	12:10 PM  Thu 08-Dec-2011	12:28 PM  Thu 08-Dec-2011	A23	03:10 PM  Thu 08-Dec-2011	03:14 PM  Thu 08-Dec-2011	A15
flylouisville	AA-1518-DFW-SDF	12:10 PM  Thu 08-Dec-2011	12:28 PM  Thu 08-Dec-2011	A23	03:10 PM  Thu 08-Dec-2011	03:14 PM  Thu 08-Dec-2011	A15
flightstats	AA-1518-DFW-SDF	2011-12-08 12:10 PM	2011-12-08 12:28 PM		2011-12-08 3:10 PM	2011-12-08 3:14 PM	
