ua	UA-1534-RTB-IAH	Sun, Dec 11 2:05 PM	Sun, Dec 11 2:21 PM	--	Sun, Dec 11 5:01 PM	Sun, Dec 11 5:02 PM	E22
airtravelcenter	UA-1534-RTB-IAH		12/11/11 2:30 PM (-06:00)			12/11/11 4:50 PM (-06:00)	
airtravelcenter	UA-1534-RTB-IAH	12/11/11 2:05 PM (-06:00)			12/11/11 5:01 PM (-06:00)		
myrateplan	UA-1534-RTB-IAH		12/11/11 2:30 PM (-06:00)			12/11/11 4:50 PM (-06:00)	
myrateplan	UA-1534-RTB-IAH	12/11/11 2:05 PM (-06:00)			12/11/11 5:01 PM (-06:00)		
helloflight	UA-1534-RTB-IAH		12/11/11 2:30 PM (-06:00)			12/11/11 4:50 PM (-06:00)	
helloflight	UA-1534-RTB-IAH	12/11/11 2:05 PM (-06:00)			12/11/11 5:01 PM (-06:00)		
flytecomm	UA-1534-RTB-IAH		12/11/11 2:30 PM (-06:00)			12/11/11 4:50 PM (-06:00)	
flytecomm	UA-1534-RTB-IAH	12/11/11 2:05 PM (-06:00)			12/11/11 5:01 PM (-06:00)		
flights	UA-1534-RTB-IAH	02:05 PM  Sun 11-Dec-2011	02:21 PM  Sun 11-Dec-2011		05:01 PM  Sun 11-Dec-2011	05:02 PM  Sun 11-Dec-2011	
businesstravellogue	UA-1534-RTB-IAH	02:05 PM  Sun 11-Dec-2011	02:21 PM  Sun 11-Dec-2011		05:01 PM  Sun 11-Dec-2011	05:02 PM  Sun 11-Dec-2011	
flylouisville	UA-1534-RTB-IAH	02:05 PM  Sun 11-Dec-2011	02:21 PM  Sun 11-Dec-2011		05:01 PM  Sun 11-Dec-2011	05:02 PM  Sun 11-Dec-2011	
world-flight-tracker	UA-1534-RTB-IAH	2011-12-11 2:05 PM	2011-12-11 2:21 PM		2011-12-11 5:01 PM	2011-12-11 5:02 PM	
flightview	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	5:02 PM, Dec 11	
panynj	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	5:02 PM, Dec 11	
gofox	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	5:02 PM, Dec 11	
foxbusiness	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	5:02 PM, Dec 11	
allegiantair	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	5:02 PM, Dec 11	
boston	UA-1534-RTB-IAH	2:05 PM, Dec 11	1:52 PM, Dec 11		5:01 PM, Dec 11	4:59 PM, Dec 11	
travelocity	UA-1534-RTB-IAH	Dec 11 - 2:05pm	Dec 11 - Contact Airline	Not provided by airline	Dec 11 - 5:01pm	Dec 11 - Contact Airline	Not provided by airline
orbitz	UA-1534-RTB-IAH	2:05pDec 11	2:21pDec 11	 -	5:01pDec 11	5:02pDec 11	 -
mytripandmore	UA-1534-RTB-IAH	2:05pDec 11	2:21pDec 11	 -	5:01pDec 11	5:02pDec 11	 -
aa	AA-1007-TPA-MIA	December 11, 2011               01:55 PM    	December 11, 2011               01:55 PM    	 F78	December 11, 2011               03:00 PM    	December 11, 2011               02:56 PM    	 D5    
flightexplorer	AA-1007-TPA-MIA		12/11/2011 2:05PM EST			12/11/2011 2:48PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/11/11 2:04 PM (-05:00)			12/11/11 2:48 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/11/11 2:04 PM (-05:00)			12/11/11 2:48 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/11/11 2:04 PM (-05:00)			12/11/11 2:48 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/11/11 2:04 PM (-05:00)			12/11/11 2:48 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-11 01:55 PM	F78		2011-12-11 02:56 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-11 01:55 PM	F78		2011-12-11 02:56 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-11 01:55 PM	F78		2011-12-11 02:56 PM	D5
flightview	AA-1007-TPA-MIA		2:05 PMDec 11			2:56 PMDec 11	
panynj	AA-1007-TPA-MIA		2:05 PMDec 11			2:56 PMDec 11	
gofox	AA-1007-TPA-MIA		2:05 PMDec 11			2:56 PMDec 11	
foxbusiness	AA-1007-TPA-MIA		2:05 PMDec 11			2:56 PMDec 11	
allegiantair	AA-1007-TPA-MIA		2:05 PMDec 11			2:56 PMDec 11	
boston	AA-1007-TPA-MIA		2:05 PMDec 11			2:46 PMDec 11	
travelocity	AA-1007-TPA-MIA	Dec 11 - 1:55pm	Dec 11 - 1:55pm	F78	Dec 11 - 3:00pm	Dec 11 - 2:56pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 11	1:55pDec 11	 F78	3:00pDec 11	2:56pDec 11	 D5
weather	AA-1007-TPA-MIA	2011-12-11 01:55 PM			2011-12-11 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-11-11	2011-12-11  2:56P	
