ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
airtravelcenter	UA-3532-ORD-GRR	12/14/11 4:48 PM (-06:00)			12/14/11 6:37 PM (-05:00)		
myrateplan	UA-3532-ORD-GRR	12/14/11 4:48 PM (-06:00)			12/14/11 6:37 PM (-05:00)		
helloflight	UA-3532-ORD-GRR	12/14/11 4:48 PM (-06:00)			12/14/11 6:37 PM (-05:00)		
flytecomm	UA-3532-ORD-GRR	12/14/11 4:48 PM (-06:00)			12/14/11 6:37 PM (-05:00)		
flightaware	UA-3532-ORD-GRR	2011-12-14 04:48PM CST	2011-12-14 Cancelled	 C2 	2011-12-14 06:14PM EST	2011-12-14 Cancelled	
flightaware	UA-3532-ORD-GRR	2011-12-14 04:48PM CST	2011-12-14 Cancelled	 C2 	2011-12-14 06:14PM EST	2011-12-14 Cancelled	
wunderground	UA-3532-ORD-GRR	2011-12-14 04:48PM CST	2011-12-14 Cancelled	 C2 	2011-12-14 06:14PM EST	2011-12-14 Cancelled	
wunderground	UA-3532-ORD-GRR	2011-12-14 04:48PM CST	2011-12-14 Cancelled	 C2 	2011-12-14 06:14PM EST	2011-12-14 Cancelled	
flights	UA-3532-ORD-GRR	04:48 PM  Wed 14-Dec-2011			06:37 PM  Wed 14-Dec-2011		
businesstravellogue	UA-3532-ORD-GRR	04:48 PM  Wed 14-Dec-2011			06:37 PM  Wed 14-Dec-2011		
flylouisville	UA-3532-ORD-GRR	04:48 PM  Wed 14-Dec-2011			06:37 PM  Wed 14-Dec-2011		
flightstats	UA-3532-ORD-GRR	2011-12-14 4:48 PM	2011-12-14 4:48 PM (Estimated)		2011-12-14 6:37 PM	2011-12-14 6:37 PM (Estimated)	
quicktrip	UA-3532-ORD-GRR	2011-12-14 4:48 PM	2011-12-14 4:48 PM (Estimated)		2011-12-14 6:37 PM	2011-12-14 6:37 PM (Estimated)	
world-flight-tracker	UA-3532-ORD-GRR	2011-12-14 4:48 PM	2011-12-14 4:48 PM (Estimated)		2011-12-14 6:37 PM	2011-12-14 6:37 PM (Estimated)	
flightview	UA-3532-ORD-GRR	4:48 PM, Dec 14			6:37 PM, Dec 14		
panynj	UA-3532-ORD-GRR	4:48 PM, Dec 14			6:37 PM, Dec 14		
gofox	UA-3532-ORD-GRR	4:48 PM, Dec 14			6:37 PM, Dec 14		
foxbusiness	UA-3532-ORD-GRR	4:48 PM, Dec 14			6:37 PM, Dec 14		
allegiantair	UA-3532-ORD-GRR	4:48 PM, Dec 14			6:37 PM, Dec 14		
boston	UA-3532-ORD-GRR	4:48 PM, Dec 14	Not Available		6:37 PM, Dec 14	Not Available	
orbitz	UA-3532-ORD-GRR	4:48pDec 14		 C2	6:37pDec 14		 -
weather	UA-3532-ORD-GRR	2011-12-14 04:48 PM			2011-12-14 06:37 PM		
ord	UA-3532-ORD-GRR	2011-12-14 4:48 PM		C2	2011-12-14 6:37 PM		 
usatoday	UA-3532-ORD-GRR	4:48 PM, Dec 14	Not Available		6:37 PM, Dec 14	Not Available	
mytripandmore	UA-3532-ORD-GRR	4:48pDec 14		 C2	6:37pDec 14		 -
flightarrival	UA-3532-ORD-GRR	4:48 PM, Dec 14	Not Available		6:37 PM, Dec 14	Not Available	
aa	AA-1007-TPA-MIA	December 14, 2011               01:55 PM    	December 14, 2011               01:56 PM    	 F78	December 14, 2011               03:00 PM    	December 14, 2011               02:55 PM    	 D5    
airtravelcenter	AA-1007-TPA-MIA		12/14/11 2:07 PM (-05:00)			12/14/11 2:49 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/14/11 2:07 PM (-05:00)			12/14/11 2:49 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/14/11 2:07 PM (-05:00)			12/14/11 2:49 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/14/11 2:07 PM (-05:00)			12/14/11 2:49 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-14 01:56 PM	F78		2011-12-14 02:55 PM	D5
businesstravellogue	AA-1007-TPA-MIA		2011-12-14 01:56 PM	F78		2011-12-14 02:55 PM	D5
flylouisville	AA-1007-TPA-MIA		2011-12-14 01:56 PM	F78		2011-12-14 02:55 PM	D5
flightview	AA-1007-TPA-MIA		2:07 PMDec 14			2:55 PMDec 14	
panynj	AA-1007-TPA-MIA		2:07 PMDec 14			2:55 PMDec 14	
gofox	AA-1007-TPA-MIA		2:07 PMDec 14			2:55 PMDec 14	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 14			2:55 PMDec 14	
allegiantair	AA-1007-TPA-MIA		2:07 PMDec 14			2:55 PMDec 14	
boston	AA-1007-TPA-MIA		2:07 PMDec 14			2:47 PMDec 14	
travelocity	AA-1007-TPA-MIA	Dec 14 - 1:55pm	Dec 14 - 1:56pm	F78	Dec 14 - 3:00pm	Dec 14 - 2:55pm	D5
orbitz	AA-1007-TPA-MIA	1:55pDec 14	1:56pDec 14	 F78	3:00pDec 14	2:55pDec 14	 D5
weather	AA-1007-TPA-MIA	2011-12-14 01:55 PM			2011-12-14 03:00 PM		
mia	AA-1007-TPA-MIA				3:00P 12-14-11	2011-12-14  2:55P	
usatoday	AA-1007-TPA-MIA	2011-12-14 01:55 PM			2011-12-14 03:00 PM		
mytripandmore	AA-1007-TPA-MIA	Dec 14 - 1:55pm	Dec 14 - 1:56pm	F78	Dec 14 - 3:00pm	Dec 14 - 2:55pm	D5
