aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
flightexplorer	AA-2312-DFW-DTW	12/15/2011 8:25PM CST			12/15/2011 11:50PM EST		
airtravelcenter	AA-2312-DFW-DTW		12/15/11 8:29 PM (-06:00)			12/15/11 11:22 PM (-05:00)	
myrateplan	AA-2312-DFW-DTW		12/15/11 8:29 PM (-06:00)			12/15/11 11:22 PM (-05:00)	
helloflight	AA-2312-DFW-DTW		12/15/11 8:29 PM (-06:00)			12/15/11 11:22 PM (-05:00)	
flytecomm	AA-2312-DFW-DTW		12/15/11 8:29 PM (-06:00)			12/15/11 11:22 PM (-05:00)	
flights	AA-2312-DFW-DTW	2011-12-15 08:25 PM		A34	2011-12-15 11:50 PM		D32
businesstravellogue	AA-2312-DFW-DTW	2011-12-15 08:25 PM		A34	2011-12-15 11:50 PM		D32
flylouisville	AA-2312-DFW-DTW	2011-12-15 08:25 PM		A34	2011-12-15 11:50 PM		D32
flightstats	AA-2312-DFW-DTW	2011-12-15 8:25 PM	2011-12-15 8:25 PM (Estimated)		2011-12-15 11:50 PM	2011-12-15 11:50 PM (Estimated)	
quicktrip	AA-2312-DFW-DTW	2011-12-15 8:25 PM	2011-12-15 8:25 PM (Estimated)		2011-12-15 11:50 PM	2011-12-15 11:50 PM (Estimated)	
flightview	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
panynj	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
gofox	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
foxbusiness	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
allegiantair	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
boston	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
orbitz	AA-2312-DFW-DTW	8:25pDec 15		 A34	11:50pDec 15		 D32
usatoday	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
mytripandmore	AA-2312-DFW-DTW	8:25pDec 15		 A34	11:50pDec 15		 D32
flightarrival	AA-2312-DFW-DTW	8:25 PMDec 15			11:50 PMDec 15		
ua	UA-1442-BOS-EWR	Thu, Dec 15 6:30 AM	Thu, Dec 15 6:32 AM	A6	Thu, Dec 15 8:00 AM	Thu, Dec 15 8:00 AM	C128
airtravelcenter	UA-1442-BOS-EWR		12/15/11 6:49 AM (-05:00)			12/15/11 7:50 AM (-05:00)	
myrateplan	UA-1442-BOS-EWR		12/15/11 6:49 AM (-05:00)			12/15/11 7:50 AM (-05:00)	
helloflight	UA-1442-BOS-EWR		12/15/11 6:49 AM (-05:00)			12/15/11 7:50 AM (-05:00)	
flytecomm	UA-1442-BOS-EWR		12/15/11 6:49 AM (-05:00)			12/15/11 7:50 AM (-05:00)	
flights	UA-1442-BOS-EWR		2011-12-15 06:32 AM	A6		2011-12-15 08:00 AM	128
businesstravellogue	UA-1442-BOS-EWR		2011-12-15 06:32 AM	A6		2011-12-15 08:00 AM	128
flylouisville	UA-1442-BOS-EWR		2011-12-15 06:32 AM	A6		2011-12-15 08:00 AM	128
flightview	UA-1442-BOS-EWR		6:49 AMDec 15			8:00 AMDec 15	
panynj	UA-1442-BOS-EWR		6:49 AMDec 15			8:00 AMDec 15	
gofox	UA-1442-BOS-EWR		6:49 AMDec 15			8:00 AMDec 15	
foxbusiness	UA-1442-BOS-EWR		6:49 AMDec 15			8:00 AMDec 15	
allegiantair	UA-1442-BOS-EWR		6:49 AMDec 15			8:00 AMDec 15	
boston	UA-1442-BOS-EWR		6:49 AMDec 15			7:47 AMDec 15	
travelocity	UA-1442-BOS-EWR	Dec 15 - 6:30am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 8:00am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-1442-BOS-EWR	6:30aDec 15	6:32aDec 15	 A6	8:00aDec 15	8:00aDec 15	 128
weather	UA-1442-BOS-EWR	2011-12-15 06:30 AM	2011-12-15 06:49 AM		2011-12-15 08:00 AM	2011-12-15 07:50 AM	
