CO	CO-4237-EWR-DTW	Sat., Dec.17, 2011 12:33 p.m.	Sat., Dec.17, 2011 12:34 p.m.		Sat., Dec.17, 2011 2:38 p.m.	Sat., Dec.17, 2011 2:23 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/17/11 12:33 PM (-05:00)			12/17/11 2:38 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/17/11 12:33 PM (-05:00)			12/17/11 2:38 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/17/11 12:33 PM (-05:00)			12/17/11 2:38 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/17/11 12:33 PM (-05:00)			12/17/11 2:38 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-17 12:34 PM	26		2011-12-17 02:23 PM	
businesstravellogue	CO-4237-EWR-DTW		2011-12-17 12:34 PM	26		2011-12-17 02:23 PM	
flylouisville	CO-4237-EWR-DTW		2011-12-17 12:34 PM	26		2011-12-17 02:23 PM	
flightstats	CO-4237-EWR-DTW	2011-12-17 12:33 PM	2011-12-17 12:34 PM		2011-12-17 2:38 PM	2011-12-17 2:23 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-17 12:33 PM	2011-12-17 12:34 PM		2011-12-17 2:38 PM	2011-12-17 2:23 PM	
flightview	CO-4237-EWR-DTW		12:46 PMDec 17			2:23 PMDec 17	
panynj	CO-4237-EWR-DTW		12:46 PMDec 17			2:23 PMDec 17	
gofox	CO-4237-EWR-DTW		12:46 PMDec 17			2:23 PMDec 17	
foxbusiness	CO-4237-EWR-DTW		12:46 PMDec 17			2:23 PMDec 17	
allegiantair	CO-4237-EWR-DTW		12:46 PMDec 17			2:23 PMDec 17	
boston	CO-4237-EWR-DTW		12:46 PMDec 17			2:11 PMDec 17	
orbitz	CO-4237-EWR-DTW	12:33pDec 17	12:34pDec 17	 -	2:38pDec 17	2:23pDec 17	 -
weather	CO-4237-EWR-DTW	2011-12-17 12:33 PM			2011-12-17 02:38 PM		
usatoday	CO-4237-EWR-DTW		12:46 PMDec 17			2:11 PMDec 17	
flightarrival	CO-4237-EWR-DTW		12:46 PMDec 17			2:11 PMDec 17	
