CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/18/11 12:09 PM (-05:00)			12/18/11 2:16 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/18/11 12:09 PM (-05:00)			12/18/11 2:16 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/18/11 12:09 PM (-05:00)			12/18/11 2:16 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/18/11 12:09 PM (-05:00)			12/18/11 2:16 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-18 12:04 PM	26		2011-12-18 01:48 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-18 12:04 PM	26		2011-12-18 01:48 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-18 12:04 PM	26		2011-12-18 01:48 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-18 12:09 PM	2011-12-18 12:04 PM		2011-12-18 2:16 PM	2011-12-18 1:48 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-18 12:09 PM	2011-12-18 12:04 PM		2011-12-18 2:16 PM	2011-12-18 1:48 PM	
flightview	CO-4237-EWR-DTW		12:15 PMDec 18			1:48 PMDec 18	
panynj	CO-4237-EWR-DTW		12:15 PMDec 18			1:48 PMDec 18	
gofox	CO-4237-EWR-DTW		12:15 PMDec 18			1:48 PMDec 18	
foxbusiness	CO-4237-EWR-DTW		12:15 PMDec 18			1:48 PMDec 18	
allegiantair	CO-4237-EWR-DTW		12:15 PMDec 18			1:48 PMDec 18	
boston	CO-4237-EWR-DTW		12:15 PMDec 18			1:41 PMDec 18	
travelocity	CO-4237-EWR-DTW	Dec 18 - 12:09pm	Dec 18 - 12:04pm	A26X	Dec 18 - 2:16pm	Dec 18 - 1:48pm	D-2
orbitz	CO-4237-EWR-DTW	12:09pDec 18	12:04pDec 18	 A26X	2:16pDec 18	1:48pDec 18	 D-2
weather	CO-4237-EWR-DTW	2011-12-18 12:09 PM			2011-12-18 02:16 PM		
ifly	CO-4237-EWR-DTW	2011-12-18 12:09 PM	2011-12-18 12:04 PM		2011-12-18 2:16 PM	2011-12-18 1:48 PM	
flightarrival	CO-4237-EWR-DTW	2011-12-18 12:09 PM			2011-12-18 02:16 PM		
aa	AA-1007-TPA-MIA	December 18, 2011               01:55 PM    	December 18, 2011               01:55 PM    	 F78	December 18, 2011               03:00 PM    	December 18, 2011               02:59 PM    	 D37    
flightexplorer	AA-1007-TPA-MIA		12/18/2011 2:04PM EST			12/18/2011 2:51PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/18/11 2:04 PM (-05:00)			12/18/11 2:48 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/18/11 2:04 PM (-05:00)			12/18/11 2:48 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/18/11 2:04 PM (-05:00)			12/18/11 2:48 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/18/11 2:04 PM (-05:00)			12/18/11 2:48 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-18 01:55 PM	F78		2011-12-18 02:59 PM	D37
businesstravellogue	AA-1007-TPA-MIA		2011-12-18 01:55 PM	F78		2011-12-18 02:59 PM	D37
flylouisville	AA-1007-TPA-MIA		2011-12-18 01:55 PM	F78		2011-12-18 02:59 PM	D37
