CO	CO-4237-EWR-DTW	Tue., Dec.27, 2011 12:17 p.m.	Tue., Dec.27, 2011 12:20 p.m.		Tue., Dec.27, 2011 2:24 p.m.	Tue., Dec.27, 2011 2:07 p.m.	
airtravelcenter	CO-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
myrateplan	CO-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
helloflight	CO-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
flytecomm	CO-4237-EWR-DTW	12/27/11 12:17 PM (-05:00)			12/27/11 2:24 PM (-05:00)		
flights	CO-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
businesstravellogue	CO-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
flylouisville	CO-4237-EWR-DTW		2011-12-27 12:20 PM	27		2011-12-27 02:07 PM	D2
flightstats	CO-4237-EWR-DTW	2011-12-27 12:17 PM	2011-12-27 12:20 PM		2011-12-27 2:24 PM	2011-12-27 2:07 PM	
quicktrip	CO-4237-EWR-DTW	2011-12-27 12:17 PM	2011-12-27 12:20 PM		2011-12-27 2:24 PM	2011-12-27 2:07 PM	
flightview	CO-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
panynj	CO-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
gofox	CO-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
foxbusiness	CO-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
allegiantair	CO-4237-EWR-DTW		12:33 PMDec 27			2:07 PMDec 27	
boston	CO-4237-EWR-DTW		12:33 PMDec 27			1:58 PMDec 27	
orbitz	CO-4237-EWR-DTW	12:17pDec 27	12:20pDec 27	 -	2:24pDec 27	2:07pDec 27	 -
weather	CO-4237-EWR-DTW	2011-12-27 12:17 PM			2011-12-27 02:24 PM		
usatoday	CO-4237-EWR-DTW		12:33 PMDec 27			1:58 PMDec 27	
mytripandmore	CO-4237-EWR-DTW	12:17pDec 27	12:20pDec 27	 -	2:24pDec 27	2:07pDec 27	 -
flightarrival	CO-4237-EWR-DTW		12:33 PMDec 27			1:58 PMDec 27	
aa	AA-1007-TPA-MIA	December 27, 2011               01:55 PM    	December 27, 2011               01:55 PM    	 F78	December 27, 2011               03:00 PM    	December 27, 2011               02:59 PM    	 D39    
flightexplorer	AA-1007-TPA-MIA		12/27/2011 2:07PM EST			12/27/2011 2:43PM EST	
airtravelcenter	AA-1007-TPA-MIA		12/27/11 2:06 PM (-05:00)			12/27/11 2:43 PM (-05:00)	
myrateplan	AA-1007-TPA-MIA		12/27/11 2:06 PM (-05:00)			12/27/11 2:43 PM (-05:00)	
helloflight	AA-1007-TPA-MIA		12/27/11 2:06 PM (-05:00)			12/27/11 2:43 PM (-05:00)	
flytecomm	AA-1007-TPA-MIA		12/27/11 2:06 PM (-05:00)			12/27/11 2:43 PM (-05:00)	
flights	AA-1007-TPA-MIA		2011-12-27 01:55 PM	F78		2011-12-27 02:59 PM	D39
businesstravellogue	AA-1007-TPA-MIA		2011-12-27 01:55 PM	F78		2011-12-27 02:59 PM	D39
flylouisville	AA-1007-TPA-MIA		2011-12-27 01:55 PM	F78		2011-12-27 02:59 PM	D39
flightview	AA-1007-TPA-MIA		2:07 PMDec 27			2:59 PMDec 27	
panynj	AA-1007-TPA-MIA		2:07 PMDec 27			2:59 PMDec 27	
gofox	AA-1007-TPA-MIA		2:07 PMDec 27			2:59 PMDec 27	
foxbusiness	AA-1007-TPA-MIA		2:07 PMDec 27			2:59 PMDec 27	
