AA-1221-MCO-ORD	12/03/2011 08:00 PM	12/03/2011 08:09 PM	15	12/03/2011 09:50 PM	12/03/2011 09:38 PM	L8
AA-518-MIA-JFK	12/03/2011 06:30 AM	12/03/2011 06:42 AM	D16	12/03/2011 09:15 AM	12/03/2011 09:11 AM	12
AA-1640-MIA-MCO	12/03/2011 06:30 PM		D43	12/03/2011 07:25 PM		14
AA-4307-ORD-DTW	12/03/2011 08:05 PM	12/03/2011 08:22 PM	G7	12/03/2011 10:20 PM	12/03/2011 10:10 PM	D19
AA-2525-DFW-MIA	12/03/2011 07:25 AM	12/03/2011 08:03 AM	D25	12/03/2011 11:10 AM	12/03/2011 11:28 AM	D3
AA-616-DFW-DTW	12/03/2011 09:05 AM	12/03/2011 09:18 AM	C33	12/03/2011 12:35 PM	12/03/2011 12:31 PM	D32
AA-431-MIA-SFO	12/03/2011 08:35 AM	12/03/2011 08:43 AM	D40	12/03/2011 11:50 AM	12/03/2011 11:19 AM	57
AA-3756-ORD-SLC	12/03/2011 12:15 PM	12/03/2011 12:22 PM	G3	12/03/2011 02:45 PM	12/03/2011 02:22 PM	A3
AA-2050-ORD-MIA	12/03/2011 10:40 AM	12/03/2011 11:24 AM	K9	12/03/2011 02:45 PM	12/03/2011 03:12 PM	D2
AA-3804-PHL-ORD	12/03/2011 02:35 PM	12/03/2011 02:36 PM	A7	12/03/2011 04:05 PM	12/03/2011 03:25 PM	G1B
AA-1522-SFO-ORD	12/03/2011 11:55 PM		57	12/04/2011 05:50 AM		H9
AA-1434-DFW-MCO	12/03/2011 07:15 AM	12/03/2011 07:26 AM	C15	12/03/2011 10:35 AM	12/03/2011 10:39 AM	14
AA-59-JFK-SFO	12/03/2011 07:10 AM	12/03/2011 07:31 AM	10	12/03/2011 10:45 AM	12/03/2011 10:24 AM	58B
AA-415-BOS-ORD	12/03/2011 08:35 AM	12/03/2011 08:48 AM	B36	12/03/2011 10:40 AM	12/03/2011 10:13 AM	K5
