AA-1221-MCO-ORD	12/04/2011 08:00 PM	12/04/2011 08:09 PM	16	12/04/2011 09:50 PM	12/04/2011 09:27 PM	K15
AA-518-MIA-JFK	12/04/2011 06:30 AM	12/04/2011 07:02 AM	D1	12/04/2011 09:15 AM	12/04/2011 09:31 AM	3
AA-1640-MIA-MCO	12/04/2011 06:30 PM		E5	12/04/2011 07:25 PM		15
AA-4307-ORD-DTW	12/04/2011 06:45 PM	12/04/2011 07:03 PM	H4	12/04/2011 09:10 PM	12/04/2011 09:04 PM	D28
AA-2525-DFW-MIA	12/04/2011 07:25 AM	12/04/2011 11:18 AM	D25	12/04/2011 11:10 AM	12/04/2011 02:55 PM	D2
AA-431-MIA-SFO	12/04/2011 08:35 AM	12/04/2011 08:51 AM	D44	12/04/2011 11:50 AM	12/04/2011 11:37 AM	57
AA-3756-ORD-SLC	12/04/2011 12:15 PM	12/04/2011 12:53 PM	G11	12/04/2011 02:45 PM	12/04/2011 02:57 PM	A3
AA-1279-DFW-PHX	12/04/2011 01:00 PM	12/04/2011 01:31 PM	C7	12/04/2011 02:35 PM	12/04/2011 02:55 PM	4
AA-2050-ORD-MIA	12/04/2011 10:40 AM	12/04/2011 10:49 AM	K7	12/04/2011 02:45 PM	12/04/2011 02:21 PM	D40
AA-3804-PHL-ORD	12/04/2011 02:35 PM	12/04/2011 02:57 PM	A7	12/04/2011 04:05 PM	12/04/2011 03:54 PM	H3A
AA-1522-SFO-ORD	12/04/2011 11:55 PM		56A	12/05/2011 05:50 AM		H9
AA-1434-DFW-MCO	12/04/2011 07:15 AM	12/04/2011 09:39 AM	C29	12/04/2011 10:35 AM	12/04/2011 12:46 PM	15
AA-59-JFK-SFO	12/04/2011 07:10 AM	12/04/2011 07:33 AM	39	12/04/2011 10:45 AM	12/04/2011 10:37 AM	58B
AA-415-BOS-ORD	12/04/2011 08:35 AM	12/04/2011 08:45 AM	B36	12/04/2011 10:40 AM	12/04/2011 10:33 AM	K18
AA-222-LAX-BOS	12/04/2011 07:10 AM	12/04/2011 07:23 AM	47A	12/04/2011 03:30 PM	12/04/2011 03:08 PM	B34
AA-3823-LAX-DEN	12/04/2011 09:00 PM		44F	12/05/2011 12:15 AM		A49
AA-1165-JFK-MIA	12/04/2011 06:59 AM	12/04/2011 07:20 AM	36	12/04/2011 10:34 AM	12/04/2011 09:55 AM	D2
AA-3786-IAH-ORD	12/04/2011 04:00 PM	12/04/2011 04:39 PM	A29	12/04/2011 06:40 PM	12/04/2011 06:34 PM	H3A
AA-4330-CVG-ORD	12/04/2011 03:35 PM	12/04/2011 03:45 PM	5	12/04/2011 04:00 PM	12/04/2011 03:45 PM	G5
AA-1664-MIA-ATL	12/04/2011 10:15 AM	12/04/2011 10:43 AM	D15	12/04/2011 12:10 PM	12/04/2011 12:23 PM	T11
AA-789-ORD-DEN	12/04/2011 01:05 PM	12/04/2011 01:14 PM	K8	12/04/2011 02:35 PM	12/04/2011 02:44 PM	A49
AA-3468-CVG-MIA	12/04/2011 07:00 AM	12/04/2011 07:08 AM	5	12/04/2011 09:55 AM	12/04/2011 09:41 AM	D60
AA-204-LAX-MCO	12/04/2011 11:25 PM		42B	12/05/2011 06:55 AM		TBA
AA-1733-ORD-PHX	12/04/2011 07:45 PM	12/04/2011 08:02 PM	H8	12/04/2011 10:30 PM		6
