Flight_Num,Scheduled_Dept,Actual_Dept,Scheduled_Arrival,Actual_Arrival
2011-12-05-AA-431-MIA-SFO,8:35,8:52,11:50,11:15
2011-12-05-AA-3756-ORD-SLC,12:15,12:29,2:45,2:31
2011-12-05-AA-2050-ORD-MIA,10:40,10:52,2:45,2:37
2011-12-05-AA-3804-PHL-ORD,2:35,2:40,4:05,3:45
2011-12-05-AA-1664-MIA-ATL,10:15,10:43,12:10,12:26
2011-12-05-AA-789-ORD-DEN,1:05,1:27,2:35,2:48
2011-12-05-AA-1733-ORD-PHX,7:45,7:53,10:30,
2011-12-05-AA-1733-ORD-PHX,7:45,7:53,10:30,
2011-12-05-AA-4277-CVG-JFK,12:10,12:19,2:15,2:01
2011-12-05-AA-2312-DFW-DTW,8:25,,11:50,
2011-12-05-AA-85-JFK-SFO,3:05,3:31,6:30,6:17
2011-12-05-AA-404-MIA-MCO,6:45,6:56,7:45,7:51
2011-12-05-AA-446-DFW-PHL,11:50,12:06,3:50,3:44
2011-12-05-AA-2268-PHX-ORD,7:15,7:20,11:35,11:12
2011-12-05-AA-4344-ORD-DTW,11:45,11:55,2:00,2:13
2011-12-05-AA-484-DFW-MIA,4:15,4:36,7:55,7:52
2011-12-05-AA-3979-CVG-ORD,7:30,7:48,8:00,7:42
2011-12-05-AA-3063-SLC-LAX,8:20,8:30,9:20,
2011-12-05-AA-3859-IAH-ORD,7:10,7:25,9:40,9:59
2011-12-05-AA-3842-MSP-ORD,6:00,6:10,7:30,7:09
2011-12-05-AA-1544-SAN-ORD,11:25,3:26,5:25,
2011-12-05-AA-649-ORD-SNA,1:30,,3:50,
2011-12-05-AA-1640-MIA-MCO,6:30,,7:25,
2011-12-05-AA-518-MIA-JFK,6:30,6:50,9:15,9:20
2011-12-05-AA-2525-DFW-MIA,7:25,8:37,11:10,12:00
2011-12-05-AA-1279-DFW-PHX,1:00,1:19,2:35,2:51
2011-12-05-AA-1522-SFO-ORD,11:55,,5:50,
2011-12-05-AA-1434-DFW-MCO,7:15,7:27,10:35,10:39
2011-12-05-AA-59-JFK-SFO,7:10,7:49,10:45,10:45
2011-12-05-AA-415-BOS-ORD,8:35,8:50,10:40,10:18
2011-12-05-AA-222-LAX-BOS,7:10,7:13,3:30,2:55
2011-12-05-AA-3823-LAX-DEN,9:00,,12:15,
2011-12-05-AA-1165-JFK-MIA,6:59,7:33,10:34,10:06
2011-12-05-AA-3786-IAH-ORD,4:00,4:28,6:40,6:37
2011-12-05-AA-4330-CVG-ORD,3:35,4:51,4:00,4:47
2011-12-05-AA-3468-CVG-MIA,7:00,7:23,9:55,9:47
2011-12-05-AA-204-LAX-MCO,11:25,,6:55,
2011-12-05-AA-466-IAH-MIA,6:00,6:19,9:20,9:26
2011-12-05-AA-3-JFK-LAX,12:00,12:02,3:15,2:46
2011-12-05-AA-1007-MIA-PHX,4:55,5:01,8:05,7:55
2011-12-05-AA-271-MIA-LAX,11:35,11:53,2:25,2:14
2011-12-05-AA-643-MIA-ORD,7:10,7:29,9:35,9:23
2011-12-05-AA-4198-ORD-CLE,10:40,10:47,12:55,12:44
2011-12-05-AA-400-DFW-JFK,10:40,11:07,2:59,3:12
2011-12-05-AA-1886-BOS-MIA,10:45,10:56,2:20,2:01
2011-12-05-AA-1917-JFK-MCO,2:55,3:09,5:55,5:36
2011-12-05-AA-3809-PHX-LAX,6:00,6:18,6:40,6:27
2011-12-05-AA-2957-DFW-CVG,7:55,8:31,11:05,11:17
2011-12-05-UA-1500-IAH-GUA,8:55,9:08,11:45,12:04
2011-12-05-UA-3515-IAD-MSP,8:17,8:12,10:08,9:51
2011-12-05-UA-664-ORD-PHL,1:33,1:56,4:31,4:51
2011-12-05-UA-414-LAX-SFO,6:00,5:56,7:23,7:09
2011-12-05-UA-257-JFK-SFO,2:30,2:29,6:15,5:34
2011-12-05-UA-62-IAH-EWR,2:30,2:33,7:03,7:24
2011-12-05-UA-843-LAX-ORD,1:55,2:31,7:53,8:22
2011-12-05-UA-248-PHX-ORD,12:57,12:57,5:15,5:15
2011-12-05-UA-248-PHX-ORD,12:57,1:10,5:15,5:12
2011-12-05-UA-397-JFK-SFO,8:00,7:58,11:55,11:24
2011-12-05-UA-2704-DTW-PHX,11:15,11:15,1:40,2:00
2011-12-05-UA-2515-DFW-CLT,7:05,7:05,10:31,10:28
