Flight_Num,Scheduled_Dept,Actual_Dept,Dept_Gate,Scheduled_Arrival,Actual_Arrival,Arrival_Gate
CO-62-IAH-EWR,Thu.; Dec.01; 2011 2:30 p.m.,Thu.; Dec.01; 2011 2:48 p.m.,,Thu.; Dec.01; 2011 7:03 p.m.,Thu.; Dec.01; 2011 7:10 p.m.,
CO-52-IAH-LAX,Thu.; Dec.01; 2011 7:35 a.m.,Thu.; Dec.01; 2011 7:29 a.m.,,Thu.; Dec.01; 2011 9:21 a.m.,Thu.; Dec.01; 2011 9:14 a.m.,
CO-89-IAH-EWR,Thu.; Dec.01; 2011 6:00 a.m.,Thu.; Dec.01; 2011 6:02 a.m.,,Thu.; Dec.01; 2011 10:20 a.m.,Thu.; Dec.01; 2011 10:27 a.m.,
CO-1090-BOS-IAH,Thu.; Dec.01; 2011 9:45 a.m.,Thu.; Dec.01; 2011 10:19 a.m.,,Thu.; Dec.01; 2011 1:16 p.m.,Thu.; Dec.01; 2011 1:19 p.m.,
AA-1221-MCO-ORD,12/02/2011 08:00 PM,12/02/2011 08:07 PM,15,12/02/2011 09:50 PM,12/02/2011 09:37 PM,H11B
AA-4307-ORD-DTW,12/02/2011 06:45 PM,12/02/2011 07:07 PM,G19A,12/02/2011 09:10 PM,12/02/2011 09:06 PM,D28
AA-616-DFW-DTW,12/02/2011 09:05 AM,12/02/2011 09:14 AM,C14,12/02/2011 12:35 PM,12/02/2011 12:19 PM,D32
AA-431-MIA-SFO,12/02/2011 08:35 AM,12/02/2011 08:52 AM,D40,12/02/2011 11:50 AM,12/02/2011 11:41 AM,56A
AA-3756-ORD-SLC,12/02/2011 12:15 PM,12/02/2011 12:29 PM,H3A,12/02/2011 02:45 PM,12/02/2011 02:41 PM,A3
AA-2050-ORD-MIA,12/02/2011 10:40 AM,12/02/2011 10:53 AM,H15,12/02/2011 02:45 PM,12/02/2011 02:26 PM,D1
AA-3804-PHL-ORD,12/02/2011 02:35 PM,12/02/2011 02:42 PM,A7,12/02/2011 04:05 PM,12/02/2011 03:46 PM,G1B
AA-1664-MIA-ATL,12/02/2011 10:15 AM,12/02/2011 10:39 AM,D36,12/02/2011 12:10 PM,12/02/2011 12:18 PM,T11
AA-789-ORD-DEN,12/02/2011 01:05 PM,12/02/2011 01:19 PM,K9,12/02/2011 02:35 PM,12/02/2011 02:50 PM,A49
AA-1733-ORD-PHX,12/02/2011 07:45 PM,12/02/2011 07:55 PM,H14,12/02/2011 10:30 PM,,6
AA-1733-ORD-PHX,12/02/2011 07:45 PM,12/02/2011 07:55 PM,H14,12/02/2011 10:30 PM,,6
AA-4277-CVG-JFK,12/02/2011 12:10 PM,12/02/2011 12:22 PM,1,12/02/2011 02:15 PM,12/02/2011 01:52 PM,31A
AA-2312-DFW-DTW,12/02/2011 08:25 PM,,C27,12/02/2011 11:50 PM,,D32
AA-85-JFK-SFO,12/02/2011 03:05 PM,12/02/2011 03:41 PM,5,12/02/2011 06:30 PM,12/02/2011 07:00 PM,58B
AA-404-MIA-MCO,12/02/2011 06:45 AM,12/02/2011 06:53 AM,E5,12/02/2011 07:45 AM,12/02/2011 07:35 AM,16
AA-446-DFW-PHL,12/02/2011 11:50 AM,12/02/2011 11:59 AM,D31,12/02/2011 03:50 PM,12/02/2011 03:40 PM,A9
AA-2268-PHX-ORD,12/02/2011 07:15 AM,12/02/2011 07:21 AM,6,12/02/2011 11:35 AM,12/02/2011 11:08 AM,H15
AA-4344-ORD-DTW,12/02/2011 11:45 AM,12/02/2011 11:53 AM,G1A,12/02/2011 02:00 PM,12/02/2011 01:51 PM,D28
AA-484-DFW-MIA,12/02/2011 04:15 PM,12/02/2011 04:59 PM,D23,12/02/2011 07:55 PM,12/02/2011 08:19 PM,D8
AA-3979-CVG-ORD,12/02/2011 07:30 AM,12/02/2011 07:57 AM,1,12/02/2011 08:00 AM,12/02/2011 07:56 AM,G12
AA-3063-SLC-LAX,12/02/2011 08:20 PM,12/02/2011 08:39 PM,A3,12/02/2011 09:20 PM,,44H
AA-3859-IAH-ORD,12/02/2011 07:10 AM,12/02/2011 07:13 AM,A29,12/02/2011 09:40 AM,12/02/2011 09:37 AM,G7
AA-3842-MSP-ORD,12/02/2011 06:00 AM,12/02/2011 06:25 AM,E14,12/02/2011 07:30 AM,12/02/2011 07:44 AM,H5
AA-1544-SAN-ORD,12/02/2011 11:25 AM,12/02/2011 11:42 AM,27,12/02/2011 05:25 PM,12/02/2011 04:59 PM,H6
AA-649-ORD-SNA,12/02/2011 01:30 PM,,H8,12/02/2011 03:50 PM,,7
AA-1640-MIA-MCO,12/02/2011 06:30 PM,,D33,12/02/2011 07:25 PM,,14
AA-518-MIA-JFK,12/02/2011 06:30 AM,12/02/2011 06:54 AM,D3,12/02/2011 09:15 AM,12/02/2011 09:26 AM,5
AA-2525-DFW-MIA,12/02/2011 07:25 AM,12/02/2011 07:48 AM,D25,12/02/2011 11:10 AM,12/02/2011 11:13 AM,D21
AA-1279-DFW-PHX,12/02/2011 01:00 PM,12/02/2011 01:29 PM,C2,12/02/2011 02:35 PM,12/02/2011 02:51 PM,4
AA-1522-SFO-ORD,12/02/2011 11:55 PM,,58B,12/03/2011 05:50 AM,,H9
AA-1434-DFW-MCO,12/02/2011 07:15 AM,12/02/2011 07:37 AM,C36,12/02/2011 10:35 AM,12/02/2011 10:51 AM,14
AA-59-JFK-SFO,12/02/2011 07:10 AM,12/02/2011 07:47 AM,39,12/02/2011 10:45 AM,12/02/2011 10:33 AM,58B
AA-415-BOS-ORD,12/02/2011 08:35 AM,12/02/2011 08:45 AM,B31,12/02/2011 10:40 AM,12/02/2011 10:28 AM,K7
AA-222-LAX-BOS,12/02/2011 07:10 AM,12/02/2011 07:29 AM,48A,12/02/2011 03:30 PM,12/02/2011 03:16 PM,B33
AA-3823-LAX-DEN,12/02/2011 09:00 PM,,44I,12/03/2011 12:15 AM,,A49
AA-1165-JFK-MIA,12/02/2011 06:59 AM,12/02/2011 07:36 AM,40,12/02/2011 10:34 AM,12/02/2011 10:15 AM,D11
AA-3786-IAH-ORD,12/02/2011 04:00 PM,12/02/2011 04:17 PM,A29,12/02/2011 06:40 PM,12/02/2011 06:14 PM,G5
AA-4330-CVG-ORD,12/02/2011 03:35 PM,12/02/2011 04:48 PM,5,12/02/2011 04:00 PM,12/02/2011 04:41 PM,G14
AA-3468-CVG-MIA,12/02/2011 07:00 AM,12/02/2011 07:25 AM,5,12/02/2011 09:55 AM,12/02/2011 09:46 AM,D60
AA-204-LAX-MCO,12/02/2011 11:25 PM,,43,12/03/2011 06:55 AM,,14
AA-466-IAH-MIA,12/02/2011 06:00 AM,12/02/2011 06:15 AM,A27,12/02/2011 09:20 AM,12/02/2011 09:22 AM,D51
AA-3-JFK-LAX,12/02/2011 12:00 PM,12/02/2011 12:14 PM,12,12/02/2011 03:15 PM,12/02/2011 03:08 PM,47B
AA-1007-MIA-PHX,12/02/2011 04:55 PM,12/02/2011 05:28 PM,D44,12/02/2011 08:05 PM,12/02/2011 08:18 PM,6
AA-271-MIA-LAX,12/02/2011 11:35 AM,12/02/2011 11:52 AM,D51,12/02/2011 02:25 PM,12/02/2011 02:08 PM,49A
AA-643-MIA-ORD,12/02/2011 07:10 AM,12/02/2011 07:25 AM,D11,12/02/2011 09:35 AM,12/02/2011 09:23 AM,K13
AA-4198-ORD-CLE,12/02/2011 10:40 AM,12/02/2011 10:51 AM,G12,12/02/2011 12:55 PM,12/02/2011 12:47 PM,A1
AA-400-DFW-JFK,12/02/2011 10:40 AM,12/02/2011 11:01 AM,D16,12/02/2011 02:59 PM,12/02/2011 03:00 PM,44
AA-1886-BOS-MIA,12/02/2011 10:45 AM,12/02/2011 10:55 AM,B33,12/02/2011 02:20 PM,12/02/2011 01:55 PM,D50
AA-1917-JFK-MCO,12/02/2011 02:55 PM,12/02/2011 03:39 PM,1,12/02/2011 05:55 PM,12/02/2011 06:05 PM,16
AA-3809-PHX-LAX,12/02/2011 06:00 AM,12/02/2011 06:07 AM,2,12/02/2011 06:40 AM,12/02/2011 06:16 AM,44I
AA-2957-DFW-CVG,12/02/2011 07:55 AM,12/02/2011 08:07 AM,B16,12/02/2011 11:05 AM,12/02/2011 10:57 AM,3
UA-1500-IAH-GUA,Fri; Dec 2 8:55 AM,Fri; Dec 2 9:39 AM            Delayed,E10,Fri; Dec 2 11:45 AM,Fri; Dec 2 12:28 PM,15
UA-3515-IAD-MSP,Fri; Dec 2 8:15 AM,Fri; Dec 2 8:15 AM,D20,Fri; Dec 2 10:06 AM,Fri; Dec 2 10:08 AM,E6
UA-664-ORD-PHL,Fri; Dec 2 1:33 PM,Fri; Dec 2 1:35 PM,C25,Fri; Dec 2 4:31 PM,Fri; Dec 2 4:34 PM,D13
UA-414-LAX-SFO,Fri; Dec 2 6:00 AM,Fri; Dec 2 5:57 AM,75B,Fri; Dec 2 7:23 AM,Fri; Dec 2 7:12 AM,88
UA-257-JFK-SFO,Fri; Dec 2 2:30 PM,Fri; Dec 2 2:27 PM,9,Fri; Dec 2 6:15 PM,Fri; Dec 2 5:46 PM,92
UA-62-IAH-EWR,Fri; Dec 2 2:30 PM,Fri; Dec 2 2:50 PM,C-39,Fri; Dec 2 7:03 PM,Fri; Dec 2 7:08 PM,C83
UA-843-LAX-ORD,Fri; Dec 2 1:55 PM,Fri; Dec 2 1:54 PM,73,Fri; Dec 2 7:53 PM,Fri; Dec 2 7:22 PM,C23
UA-248-PHX-ORD,Fri; Dec 2 12:57 PM,Fri; Dec 2 12:57 PM            On Time,3,Fri; Dec 2 5:15 PM,Fri; Dec 2 5:02 PM,C17
UA-248-PHX-ORD,Fri; Dec 2 12:57 PM,Fri; Dec 2 1:08 PM            Delayed,3,Fri; Dec 2 5:15 PM,Fri; Dec 2 5:07 PM,C17
UA-397-JFK-SFO,Fri; Dec 2 8:00 AM,Fri; Dec 2 7:54 AM,12,Fri; Dec 2 11:55 AM,Fri; Dec 2 10:55 AM,84
UA-2704-DTW-PHX,Fri; Dec 2 11:15 AM,Fri; Dec 2 11:15 AM,D14,Fri; Dec 2 1:40 PM,Fri; Dec 2 1:40 PM,A6
UA-2515-DFW-CLT,Fri; Dec 2 7:05 AM,Fri; Dec 2 7:05 AM,E36,Fri; Dec 2 10:31 AM,Fri; Dec 2 10:43 AM,B10
UA-3373-IAD-PHL,Fri; Dec 2 8:29 AM,Fri; Dec 2 8:25 AM,A5D,Fri; Dec 2 9:24 AM,Fri; Dec 2 9:08 AM,D7
UA-2906-PHL-MCO,Fri; Dec 2 3:50 PM,Fri; Dec 2 3:50 PM            Delayed,B13,Fri; Dec 2 6:23 PM,Fri; Dec 2 6:18 PM,58
UA-938-DEN-ORD,Fri; Dec 2 4:16 PM,Fri; Dec 2 4:16 PM,B32,Fri; Dec 2 7:35 PM,Fri; Dec 2 7:17 PM,C26
UA-3099-PHX-PHL,Fri; Dec 2 11:55 AM,Fri; Dec 2 12:05 PM,B13,Fri; Dec 2 6:17 PM,Fri; Dec 2 5:53 PM,A10
UA-3925-IAD-ORF,Fri; Dec 2 8:41 AM,Fri; Dec 2 8:36 AM,A2A,Fri; Dec 2 9:54 AM,Fri; Dec 2 9:42 AM,--
UA-5487-SFO-MRY,Fri; Dec 2 10:39 AM,Fri; Dec 2 10:31 AM,87A,Fri; Dec 2 11:19 AM,Fri; Dec 2 11:17 AM,--
UA-3050-PHX-CLT,Fri; Dec 2 11:05 AM,Fri; Dec 2 11:05 AM,A11,Fri; Dec 2 4:57 PM,Fri; Dec 2 4:44 PM,B5
UA-828-SFO-ORD,Fri; Dec 2 11:08 PM,Fri; Dec 2 11:08 PM            On Time,74,Sat; Dec 3 5:11 AM,Sat; Dec 3 5:11 AM,B11
UA-2830-MCO-CLT,Fri; Dec 2 3:27 PM,Fri; Dec 2 3:27 PM,57,Fri; Dec 2 5:05 PM,Fri; Dec 2 4:59 PM,C12
UA-37-EWR-MCO,Fri; Dec 2 1:29 PM,Fri; Dec 2 1:42 PM            Delayed,C73,Fri; Dec 2 4:17 PM,Fri; Dec 2 4:20 PM,39
UA-37-EDI-EWR,Fri; Dec 2 9:05 AM,Fri; Dec 2 11:29 AM,--,Fri; Dec 2 11:53 AM,Fri; Dec 2 2:56 PM,B56
UA-2708-EWR-CLT,Fri; Dec 2 2:55 PM,Fri; Dec 2 2:55 PM,A37,Fri; Dec 2 4:53 PM,Fri; Dec 2 4:32 PM,C15
UA-233-LAX-JFK,Fri; Dec 2 4:25 PM,Fri; Dec 2 4:25 PM,76,Sat; Dec 3 12:29 AM,Sat; Dec 3 12:29 AM,9
UA-2726-FLL-PHL,Fri; Dec 2 4:00 PM,Fri; Dec 2 4:00 PM,E3,Fri; Dec 2 6:46 PM,Fri; Dec 2 6:30 PM,B6
UA-2945-PHL-CLT,Fri; Dec 2 12:00 AM,Fri; Dec 2 5:11 AM,B9,Fri; Dec 2 1:45 PM,Fri; Dec 2 1:26 PM,C8
UA-6273-YYC-SFO,Fri; Dec 2 7:35 AM,Fri; Dec 2 7:30 AM,--,Fri; Dec 2 9:43 AM,Fri; Dec 2 8:59 AM,76B
UA-2314-ATL-PHL,Fri; Dec 2 2:55 PM,Fri; Dec 2 2:55 PM,D23,Fri; Dec 2 5:00 PM,Fri; Dec 2 4:56 PM,A12
UA-382-IAD-LAX,Fri; Dec 2 12:40 PM,Fri; Dec 2 12:41 PM            Delayed,C17,Fri; Dec 2 3:29 PM,Fri; Dec 2 3:20 PM,75B
UA-382-IAD-LAX,Fri; Dec 2 12:40 PM,Fri; Dec 2 12:41 PM            Delayed,C17,Fri; Dec 2 3:29 PM,Fri; Dec 2 3:24 PM,75B
UA-858-PVG-SFO,Fri; Dec 2 1:45 PM,Fri; Dec 2 1:35 PM,75,Fri; Dec 2 8:27 AM,Fri; Dec 2 8:06 AM,97
UA-854-SFO-IAH,Fri; Dec 2 7:53 AM,Fri; Dec 2 7:50 AM,86,Fri; Dec 2 1:39 PM,Fri; Dec 2 1:32 PM,C16
CO-16-LAX-EWR,Fri.; Dec.02; 2011 10:25 a.m.,Fri.; Dec.02; 2011 10:28 a.m.,,Fri.; Dec.02; 2011 6:44 p.m.,Fri.; Dec.02; 2011 6:42 p.m.,
CO-1193-EWR-MCO,Fri.; Dec.02; 2011 9:15 a.m.,Fri.; Dec.02; 2011 9:12 a.m.,,Fri.; Dec.02; 2011 12:18 p.m.,Fri.; Dec.02; 2011 12:22 p.m.,
CO-1614-LAX-IAH,Fri.; Dec.02; 2011 12:30 a.m.,Fri.; Dec.02; 2011 12:44 a.m.,,Fri.; Dec.02; 2011 5:35 a.m.,Fri.; Dec.02; 2011 5:46 a.m.,
CO-45-EWR-MIA,Fri.; Dec.02; 2011 4:00 p.m.,Fri.; Dec.02; 2011 4:13 p.m.,,Fri.; Dec.02; 2011 7:05 p.m.,Fri.; Dec.02; 2011 7:01 p.m.,
CO-63-EWR-IAH,Fri.; Dec.02; 2011 5:25 p.m.,Fri.; Dec.02; 2011 5:26 p.m.,,Fri.; Dec.02; 2011 8:22 p.m.,Fri.; Dec.02; 2011 8:29 p.m.,
CO-50-CLE-EWR,Fri.; Dec.02; 2011 2:55 p.m.,Fri.; Dec.02; 2011 3:46 p.m.,,Fri.; Dec.02; 2011 4:49 p.m.,Fri.; Dec.02; 2011 5:26 p.m.,
CO-1561-PHX-IAH,Fri.; Dec.02; 2011 8:05 a.m.,Fri.; Dec.02; 2011 8:03 a.m.,,Fri.; Dec.02; 2011 11:35 a.m.,Fri.; Dec.02; 2011 11:33 a.m.,
CO-47-IAH-LAX,Fri.; Dec.02; 2011 7:10 p.m.,Fri.; Dec.02; 2011 8:49 p.m.,,Fri.; Dec.02; 2011 8:56 p.m.,Fri.; Dec.02; 2011 10:18 p.m.,
CO-1586-IAH-MCO,Fri.; Dec.02; 2011 7:00 p.m.,Fri.; Dec.02; 2011 7:13 p.m.,,Fri.; Dec.02; 2011 10:15 p.m.,Fri.; Dec.02; 2011 10:25 p.m.,
CO-1694-LAX-IAH,Fri.; Dec.02; 2011 7:15 p.m.,Fri.; Dec.02; 2011 7:15 p.m.,,Fri.; Dec.02; 2011 12:21 a.m.,Fri.; Dec.02; 2011 12:21 a.m.,
CO-4888-IAH-DAL,Fri.; Dec.02; 2011 5:30 p.m.,Fri.; Dec.02; 2011 5:30 p.m.,,Fri.; Dec.02; 2011 6:40 p.m.,Fri.; Dec.02; 2011 7:05 p.m.,
CO-1088-CLE-IAH,Fri.; Dec.02; 2011 8:40 a.m.,Fri.; Dec.02; 2011 8:43 a.m.,,Fri.; Dec.02; 2011 10:54 a.m.,Fri.; Dec.02; 2011 10:59 a.m.,
CO-58-DEN-IAH,Fri.; Dec.02; 2011 11:25 a.m.,Fri.; Dec.02; 2011 11:35 a.m.,,Fri.; Dec.02; 2011 2:50 p.m.,Fri.; Dec.02; 2011 2:48 p.m.,
CO-1023-IAH-DEN,Fri.; Dec.02; 2011 11:40 a.m.,Fri.; Dec.02; 2011 12:00 p.m.,,Fri.; Dec.02; 2011 1:17 p.m.,Fri.; Dec.02; 2011 1:18 p.m.,
CO-1250-MIA-IAH,Fri.; Dec.02; 2011 2:53 p.m.,Fri.; Dec.02; 2011 2:48 p.m.,,Fri.; Dec.02; 2011 4:48 p.m.,Fri.; Dec.02; 2011 4:31 p.m.,
CO-62-IAH-EWR,Fri.; Dec.02; 2011 2:30 p.m.,Fri.; Dec.02; 2011 2:50 p.m.,,Fri.; Dec.02; 2011 7:03 p.m.,Fri.; Dec.02; 2011 7:08 p.m.,
CO-52-IAH-LAX,Fri.; Dec.02; 2011 7:35 a.m.,Fri.; Dec.02; 2011 7:33 a.m.,,Fri.; Dec.02; 2011 9:21 a.m.,Fri.; Dec.02; 2011 9:26 a.m.,
CO-89-IAH-EWR,Fri.; Dec.02; 2011 6:00 a.m.,Fri.; Dec.02; 2011 5:58 a.m.,,Fri.; Dec.02; 2011 10:20 a.m.,Fri.; Dec.02; 2011 10:14 a.m.,
CO-1090-BOS-IAH,Fri.; Dec.02; 2011 9:45 a.m.,Fri.; Dec.02; 2011 9:43 a.m.,,Fri.; Dec.02; 2011 1:16 p.m.,Fri.; Dec.02; 2011 1:17 p.m.,
AA-1221-MCO-ORD,12/03/2011 08:00 PM,12/03/2011 08:09 PM,15,12/03/2011 09:50 PM,12/03/2011 09:38 PM,L8
AA-518-MIA-JFK,12/03/2011 06:30 AM,12/03/2011 06:42 AM,D16,12/03/2011 09:15 AM,12/03/2011 09:11 AM,12
AA-1640-MIA-MCO,12/03/2011 06:30 PM,,D43,12/03/2011 07:25 PM,,14
AA-4307-ORD-DTW,12/03/2011 08:05 PM,12/03/2011 08:22 PM,G7,12/03/2011 10:20 PM,12/03/2011 10:10 PM,D19
AA-2525-DFW-MIA,12/03/2011 07:25 AM,12/03/2011 08:03 AM,D25,12/03/2011 11:10 AM,12/03/2011 11:28 AM,D3
AA-616-DFW-DTW,12/03/2011 09:05 AM,12/03/2011 09:18 AM,C33,12/03/2011 12:35 PM,12/03/2011 12:31 PM,D32
AA-431-MIA-SFO,12/03/2011 08:35 AM,12/03/2011 08:43 AM,D40,12/03/2011 11:50 AM,12/03/2011 11:19 AM,57
AA-3756-ORD-SLC,12/03/2011 12:15 PM,12/03/2011 12:22 PM,G3,12/03/2011 02:45 PM,12/03/2011 02:22 PM,A3
AA-2050-ORD-MIA,12/03/2011 10:40 AM,12/03/2011 11:24 AM,K9,12/03/2011 02:45 PM,12/03/2011 03:12 PM,D2
AA-3804-PHL-ORD,12/03/2011 02:35 PM,12/03/2011 02:36 PM,A7,12/03/2011 04:05 PM,12/03/2011 03:25 PM,G1B
