date_symbol,percent_change,last
2011-07-01-yhoo,2.73%,$ 15.45
2011-07-04-aapl,2.26%,$ 343.26
2011-07-04-adbe,0.25%,$ 31.53
2011-07-04-adp,2.3%,$ 53.89
2011-07-04-adsk,0.26%,$ 38.70
2011-07-04-akam,0.06%,$ 31.49
2011-07-04-altr,2.55%,$ 47.53
2011-07-04-alxn,1.02%,$ 47.51
2011-07-04-amat,2.15%,$ 13.29
2011-07-04-amgn,0.12%,$ 58.28
2011-07-04-amzn,2.45%,$ 209.49
2011-07-04-apol,6.36%,$ 46.46
2011-07-04-atvi,1.37%,$ 11.84
2011-07-04-bbby,1.75%,$ 59.39
2011-07-04-bidu,2.3%,$ 143.346
2011-07-04-biib,1.48%,$ 108.50
2011-07-04-bmc,1.99%,$ 55.79
2011-07-04-brcm,2.29%,$ 34.41
2011-07-04-ca,1.44%,$ 23.17
2011-07-04-celg,0.93%,$ 60.88
2011-07-04-cern,2.34%,$ 62.54
2011-07-04-chkp,0.18%,$ 56.75
2011-07-04-chrw,2.26%,$ 80.62
2011-07-04-cmcsa,1.99%,$ 25.73
2011-07-04-cost,0.37%,$ 81.54
2011-07-04-csco,1.6%,$ 15.86
2011-07-04-ctrp,2.25%,$ 44.05
2011-07-04-ctsh,1.99%,$ 74.80
2011-07-04-ctxs,0.98%,$ 80.78
2011-07-04-dell,1.86%,$ 16.98
2011-07-04-dltr,2.42%,$ 68.23
2011-07-04-dtv,1.85%,$ 51.76
2011-07-04-ebay,1.46%,$ 32.74
2011-07-04-erts,2.5%,$ 24.19
2011-07-04-esrx,0.04%,$ 53.96
2011-07-04-expd,2.42%,$ 52.43
2011-07-04-expe,1.9%,$ 29.54
2011-07-04-fast,1.83%,$ 36.65
2011-07-04-ffiv,2.64%,$ 113.16
2011-07-04-fisv,1.78%,$ 63.745
2011-07-04-flex,2.8%,$ 6.60
2011-07-04-flir,1.45%,$ 34.20
2011-07-04-fslr,0.6%,$ 133.06
2011-07-04-gild,1.3%,$ 41.95
2011-07-04-gmcr,1.22%,$ 90.35
2011-07-04-goog,2.89%,$ 521.028
2011-07-04-grmn,1.67%,$ 33.58
2011-07-04-hpq,1.79%,$ 37.05
2011-07-04-hsic,1.89%,$ 72.94
2011-07-04-ilmn,1.14%,$ 76.01
2011-07-04-infy,1.29%,$ 66.07
2011-07-04-intc,1.67%,$ 22.53
2011-07-04-intu,0.73%,$ 52.24
2011-07-04-isrg,1.76%,$ 378.65
2011-07-04-joyg,1.99%,$ 97.14
2011-07-04-klac,2.4%,$ 41.45
2011-07-04-life,0.5%,$ 52.33
2011-07-04-linta,2.5%,$ 17.19
2011-07-04-lltc,1.24%,$ 33.43
2011-07-04-lrcx,2.24%,$ 45.27
2011-07-04-mat,1.82%,$ 27.99
2011-07-04-mchp,1.16%,$ 38.35
2011-07-04-mrvl,2.34%,$ 15.11
2011-07-04-msft,0.08%,$ 26.02
2011-07-04-mu,4.68%,$ 7.83
2011-07-04-mxim,1.29%,$ 25.89
2011-07-04-myl,1.22%,$ 24.97
2011-07-04-nflx,2.02%,$ 267.99
2011-07-04-nihd,1.82%,$ 43.15
2011-07-04-ntap,2.92%,$ 54.32
2011-07-04-nvda,1.32%,$ 16.145
2011-07-04-nwsa,2.03%,$ 18.06
2011-07-04-orcl,0.43%,$ 33.05
2011-07-04-orly,1.07%,$ 66.21
2011-07-04-payx,1.07%,$ 31.05
2011-07-04-pcar,1.88%,$ 52.05
2011-07-04-pcln,2.51%,$ 524.798
2011-07-04-qcom,1.92%,$ 57.88
2011-07-04-qgen,0.26%,$ 19.07
2011-07-04-rimm,0.28%,$ 28.93
2011-07-04-rost,1.44%,$ 81.27
2011-07-04-sbux,1.77%,$ 40.19
2011-07-04-shld,0.97%,$ 72.13
2011-07-04-sial,1.17%,$ 74.24
2011-07-04-sndk,3.13%,$ 42.80
2011-07-04-spls,0.76%,$ 15.92
2011-07-04-srcl,2.36%,$ 91.22
2011-07-04-stx,1.24%,$ 16.36
2011-07-04-symc,0.56%,$ 19.83
2011-07-04-teva,1.62%,$ 49
2011-07-04-urbn,2.74%,$ 28.92
2011-07-04-vmed,1.04%,$ 30.24
2011-07-04-vod,0.67%,$ 26.90
2011-07-04-vrsn,1.26%,$ 33.88
2011-07-04-vrtx,0.56%,$ 51.70
2011-07-04-wcrx,0.83%,$ 24.33
2011-07-04-wfm,1.51%,$ 64.41
2011-07-04-wynn,4.2%,$ 149.57
2011-07-04-xlnx,1.6%,$ 37.055
2011-07-04-xray,1.16%,$ 38.52
2011-07-04-yhoo,2.73%,$ 15.45
2011-07-05-aapl,1.8%,$ 349.43
2011-07-05-adbe,0.03%,$ 31.52
2011-07-05-adp,0.41%,$ 53.67
2011-07-05-adsk,0.44%,$ 38.87
2011-07-05-akam,0.98%,$ 31.18
2011-07-05-altr,0.86%,$ 47.12
2011-07-05-alxn,0.95%,$ 47.96
2011-07-05-amat,1.5%,$ 13.09
2011-07-05-amgn,0.62%,$ 57.92
2011-07-05-amzn,1.77%,$ 213.19
2011-07-05-apol,1.23%,$ 47.03
2011-07-05-atvi,0.34%,$ 11.80
2011-07-05-bbby,0.15%,$ 59.30
2011-07-05-bidu,1.76%,$ 145.87
2011-07-05-biib,0.54%,$ 107.91
2011-07-05-bmc,0.61%,$ 55.45
2011-07-05-brcm,0.41%,$ 34.27
2011-07-05-ca,1.21%,$ 22.89
2011-07-05-celg,0.94%,$ 60.31
2011-07-05-cern,0.74%,$ 63
2011-07-05-chkp,1.59%,$ 57.65
2011-07-05-chrw,0.19%,$ 80.47
2011-07-05-cmcsa,0.93%,$ 25.97
2011-07-05-cost,0.31%,$ 81.29
2011-07-05-csco,0.82%,$ 15.67
2011-07-05-ctrp,0.27%,$ 44.17
2011-07-05-ctsh,1.16%,$ 75.67
2011-07-05-ctxs,0.35%,$ 81.06
2011-07-05-dell,,$ 16.98
2011-07-05-dltr,1.45%,$ 69.22
2011-07-05-dtv,0.48%,$ 52.01
2011-07-05-ebay,0.31%,$ 32.64
2011-07-05-erts,0.54%,$ 24.32
2011-07-05-esrx,0.56%,$ 53.66
2011-07-05-expd,0.31%,$ 52.27
