key_id,attribute,source_observation
9780073516677,Author_list,o'leary@_timothy_j.;_o'leary@_linda_i.
9780072999389,Author_list,yacht@_carol;_crosson@_susan
9780072922363,Author_list,hutton@_david_v.
9780072843996,Author_list,haag@_stephen;_perry@_james_t.;_sosinsky@_barrie;_estevez@_efren
9780072466850,Author_list,reddy@_j._n.
9780072255096,Author_list,conklin@_wm._arthur;_white@_gregory_b.;_cothren@_chuck;_williams@_dwayne;_davis@_roger_l.
9780072232172,Author_list,suhanovs@_dennis
9780072230611,Author_list,scambray@_joel;_mcclure@_stuart
9780072226331,Author_list,white@_gregory
9780071357814,Author_list,xiang@_zhigang;_plastock@_roy_a.
1576761061,Author_list,meadors@_todd;_schmidt@_cheryl_a.
1558609350,Author_list,courage@_catherine;_baxter@_kathy
1558609342,Author_list,kumar@_c_bala;_kline@_paul_j.;_thompson@_tim_j.
1558609199,Author_list,halpin@_terry;_evans@_ken;_hallock@_pat;_maclean@_bill
1558609016,Author_list,han@_jiawei;_kamber@_micheline
1558608893,Author_list,goldman@_ron;_gabriel@_richard_p.
1558608729,Author_list,hoos@_holger_h.;_stutzle@_thomas
1558608591,Author_list,strassner@_john_c.
155860846x,Author_list,makofske@_david;_almeroth@_kevin
155860829x,Author_list,lacroix@_zoe;_critchlow@_terence
1558608109,Author_list,loshin@_pete
1558607870,Author_list,strothotte@_thomas;_schlechtweg@_stefan
1558607587,Author_list,harmon@_paul
1558606971,Author_list,chisholm@_malcolm
1558606483,Author_list,puder@_arno;_romer@_kay;_pilhofer@_frank
155860636x,Author_list,harris@_david
1558605959,Author_list,kennedy@_james;_eberhart@_russell_c.
1558605711,Author_list,hegering@_heinz-gerd;_neumair@_bernhard;_abeck@_sebastian
1558605150,Author_list,muller@_robert_j.
1558604545,Author_list,jones@_karen_sparck;_willett@_peter
1558603751,Author_list,stollnitz@_eric_j.;_derose@_tony_d.;_salesin@_david_h.
1558603042,Author_list,widom@_jennifer;_ceri@_stefano
1558601368,Author_list,przybylski@_steven_a.
155558327x,Author_list,erbschloe@_michael
1555582990,Author_list,lissoir@_alain
1555582796,Author_list,duffy@_michael_d.
1555582605,Author_list,fortier@_paul_j.;_michel@_howard_e.
1555582184,Author_list,etzel@_michael;_dickinson@_karen
1555580416,Author_list,steele@_guy_l.
0750699388,Author_list,shaw@_paul_d.
0750694998,Author_list,pease@_robert_a.
0750677953,Author_list,jones@_andy;_ashenden@_debi
0750673273,Author_list,boyce@_joseph_g.;_jennings@_dan_w.
075066455x,Author_list,mcmanus@_john
0750656832,Author_list,pooley@_rob;_wilcox@_pauline
0672323435,Author_list,mcmanus@_jeffrey_p.;_goldstein@_jackie
044450673x,Author_list,jenssen@_c._b.;_kvamdal@_t.;_andersson@_h._i.;_ecer@_a.;_periaux@_j.;_satofuka@_n.;_fox@_p.
