key_id,attribute,assigned_val
0131411551,Author_list,stevens@_w.richard
0132681528,Author_list,ford@_william_h.;_topp@_william_r.
0201361205,Author_list,sedgewick@_robert
0201633469,Author_list,stevens@_w._richard
0201702711,Author_list,thomas_a._limoncelli@_christine_hogan
0321169514,Author_list,paul_vick
0750658673,Author_list,mcmanus@_john
0750665076,Author_list,tom_gilb
0750696915,Author_list,schaub@_james_l._(au);_ames@_toni_(au)
0805316701,Author_list,david_hanson_christopher_fraser_@
1558606394,Author_list,demeyer@_serge
9780028005942,Author_list,albert_p._malvino
