Row(rv_index=u'2011-07-12-rimm', rv_attr=u'percent_change', assigned_val=u'1.53')
Row(rv_index=u'2011-07-07-qgen', rv_attr=u'percent_change', assigned_val=u'0.62')
Row(rv_index=u'2011-07-15-yhoo', rv_attr=u'percent_change', assigned_val=u'0.41')
Row(rv_index=u'2011-07-04-nwsa', rv_attr=u'percent_change', assigned_val=u'2.03')
Row(rv_index=u'2011-07-06-adbe', rv_attr=u'percent_change', assigned_val=u'0.41')
Row(rv_index=u'2011-07-14-intu', rv_attr=u'percent_change', assigned_val=u'1.34')
Row(rv_index=u'2011-07-14-ctrp', rv_attr=u'percent_change', assigned_val=None)
Row(rv_index=u'2011-07-13-infy', rv_attr=u'percent_change', assigned_val=u'0.29')
Row(rv_index=u'2011-07-07-grmn', rv_attr=u'percent_change', assigned_val=u'1.57')
Row(rv_index=u'2011-07-14-shld', rv_attr=u'percent_change', assigned_val=u'1.49')
Row(rv_index=u'2011-07-12-lrcx', rv_attr=u'percent_change', assigned_val=u'5.02')
Row(rv_index=u'2011-07-11-mu', rv_attr=u'percent_change', assigned_val=u'2.47')
Row(rv_index=u'2011-07-07-chkp', rv_attr=u'percent_change', assigned_val=u'0.38')
Row(rv_index=u'2011-07-11-vrsn', rv_attr=u'percent_change', assigned_val=u'1.74')
Row(rv_index=u'2011-07-12-wfm', rv_attr=u'percent_change', assigned_val=u'0.36')
Row(rv_index=u'2011-07-13-cost', rv_attr=u'percent_change', assigned_val=u'0.16')
Row(rv_index=u'2011-07-05-flex', rv_attr=u'percent_change', assigned_val=u'0.76')
Row(rv_index=u'2011-07-07-wcrx', rv_attr=u'percent_change', assigned_val=u'0.37')
Row(rv_index=u'2011-07-14-spls', rv_attr=u'percent_change', assigned_val=u'1.87')
Row(rv_index=u'2011-07-14-ctsh', rv_attr=u'percent_change', assigned_val=u'1.41')
Row(rv_index=u'2011-07-15-srcl', rv_attr=u'percent_change', assigned_val=u'1.12')
Row(rv_index=u'2011-07-12-mxim', rv_attr=u'percent_change', assigned_val=u'6.73')
Row(rv_index=u'2011-07-07-msft', rv_attr=u'percent_change', assigned_val=u'1.67')
Row(rv_index=u'2011-07-08-brcm', rv_attr=u'percent_change', assigned_val=u'1.17')
Row(rv_index=u'2011-07-08-orly', rv_attr=u'percent_change', assigned_val=u'0.53')
Row(rv_index=u'2011-07-06-goog', rv_attr=u'percent_change', assigned_val=u'0.55')
Row(rv_index=u'2011-07-06-cost', rv_attr=u'percent_change', assigned_val=u'1.66')
Row(rv_index=u'2011-07-08-ctxs', rv_attr=u'percent_change', assigned_val=u'0.35')
Row(rv_index=u'2011-07-05-fisv', rv_attr=u'percent_change', assigned_val=u'0.45')
Row(rv_index=u'2011-07-11-vrtx', rv_attr=u'percent_change', assigned_val=u'0.79')
