Row(rv_index=u'2011-12-05-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-05-AA-204-LAX-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-05-AA-2312-DFW-DTW', rv_attr=u'Scheduled_Dept', assigned_val=u'8:25')
Row(rv_index=u'2011-12-05-AA-3-JFK-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'12:00')
Row(rv_index=u'2011-12-05-AA-3809-PHX-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-05-AA-3823-LAX-DEN', rv_attr=u'Scheduled_Dept', assigned_val=u'9:00')
Row(rv_index=u'2011-12-05-AA-3859-IAH-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-05-AA-3979-CVG-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:30')
Row(rv_index=u'2011-12-05-AA-404-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:45')
Row(rv_index=u'2011-12-05-AA-4198-ORD-CLE', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-05-AA-4277-CVG-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'12:10')
Row(rv_index=u'2011-12-05-AA-446-DFW-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:50')
Row(rv_index=u'2011-12-05-CO-1586-IAH-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:00')
Row(rv_index=u'2011-12-05-CO-16-LAX-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'10:25')
Row(rv_index=u'2011-12-05-CO-47-IAH-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:10')
Row(rv_index=u'2011-12-05-CO-4888-IAH-DAL', rv_attr=u'Scheduled_Dept', assigned_val=u'5:30')
Row(rv_index=u'2011-12-05-CO-62-IAH-EWR', rv_attr=u'Scheduled_Dept', assigned_val=u'2:30')
Row(rv_index=u'2011-12-05-UA-2314-ATL-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-05-UA-248-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'12:57')
Row(rv_index=u'2011-12-05-UA-2704-DTW-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'11:15')
Row(rv_index=u'2011-12-05-UA-2708-EWR-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'2:55')
Row(rv_index=u'2011-12-05-UA-2945-PHL-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'12:00')
Row(rv_index=u'2011-12-05-UA-3099-PHX-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-05-UA-382-IAD-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'12:30')
Row(rv_index=u'2011-12-05-UA-3925-IAD-ORF', rv_attr=u'Scheduled_Dept', assigned_val=u'8:42')
Row(rv_index=u'2011-12-05-UA-664-ORD-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'1:33')
Row(rv_index=u'2011-12-05-UA-854-SFO-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'7:53')
Row(rv_index=u'2011-12-07-AA-1221-MCO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'8:00')
Row(rv_index=u'2011-12-07-AA-1544-SAN-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-07-AA-1640-MIA-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:30')
Row(rv_index=u'2011-12-07-AA-1733-ORD-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:45')
Row(rv_index=u'2011-12-07-AA-204-LAX-MCO', rv_attr=u'Scheduled_Dept', assigned_val=u'11:25')
Row(rv_index=u'2011-12-07-AA-2957-DFW-CVG', rv_attr=u'Scheduled_Dept', assigned_val=u'7:55')
Row(rv_index=u'2011-12-07-AA-3-JFK-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'12:00')
Row(rv_index=u'2011-12-07-AA-3063-SLC-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'8:20')
Row(rv_index=u'2011-12-07-AA-400-DFW-JFK', rv_attr=u'Scheduled_Dept', assigned_val=u'10:40')
Row(rv_index=u'2011-12-07-AA-446-DFW-PHL', rv_attr=u'Scheduled_Dept', assigned_val=u'11:50')
Row(rv_index=u'2011-12-07-CO-1694-LAX-IAH', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-07-CO-4888-IAH-DAL', rv_attr=u'Scheduled_Dept', assigned_val=u'5:30')
Row(rv_index=u'2011-12-07-CO-52-IAH-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:35')
Row(rv_index=u'2011-12-07-UA-248-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'12:57')
Row(rv_index=u'2011-12-07-UA-2830-MCO-CLT', rv_attr=u'Scheduled_Dept', assigned_val=u'3:27')
Row(rv_index=u'2011-12-07-UA-414-LAX-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'6:00')
Row(rv_index=u'2011-12-07-UA-5487-SFO-MRY', rv_attr=u'Scheduled_Dept', assigned_val=u'10:39')
Row(rv_index=u'2011-12-07-UA-6273-YYC-SFO', rv_attr=u'Scheduled_Dept', assigned_val=u'7:35')
Row(rv_index=u'2011-12-08-AA-1522-SFO-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'11:55')
Row(rv_index=u'2011-12-08-AA-1664-MIA-ATL', rv_attr=u'Scheduled_Dept', assigned_val=u'10:15')
Row(rv_index=u'2011-12-08-AA-1733-ORD-PHX', rv_attr=u'Scheduled_Dept', assigned_val=u'7:45')
Row(rv_index=u'2011-12-08-AA-2268-PHX-ORD', rv_attr=u'Scheduled_Dept', assigned_val=u'7:15')
Row(rv_index=u'2011-12-08-AA-271-MIA-LAX', rv_attr=u'Scheduled_Dept', assigned_val=u'11:35')
